"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Stroke (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:23:31",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
49,0.0004106667,0.0039504407,0,0.000086457,0.000526974,0.0036364141,6.1406E-06,0.0238700762,24.0660741997,8.68228E-05,13.4807497332,49.5
50,0.000466,0.004629532,0,9.63891E-05,0.0005979792,0.0041932635,6.1405E-06,0.0228548403,23.6697125882,9.58588E-05,11.8605259333,50.5
51,0.0005213333,0.0054187637,0,0.0001063213,0.0006728337,0.0048270931,6.1403E-06,0.0218053011,23.2432565328,0.0001052794,10.4133825534,51.5
52,0.0005766667,0.0063335907,0,0.0001162534,0.0007515375,0.0055432212,6.1403E-06,0.0207214585,22.7863253899,0.0001148872,9.1374616957,52.5
53,0.000632,0.007390774,0,0.0001233077,0.0008340906,0.006347272,6.1402E-06,0.0196033126,22.2985807399,0.0001244512,8.0213988833,53.5
54,0.0006873333,0.0086081729,0,0.0001303619,0.0009204931,0.0072452204,6.1401E-06,0.0184508633,21.7797747484,0.000133704,7.0410672636,54.5
55,0.0007426667,0.0100043984,0,0.0001374161,0.0010107448,0.0082434393,6.1401E-06,0.0172641106,21.2298179361,0.0001423385,6.1745851419,55.5
56,0.000798,0.0115982957,0,0.0001444703,0.0011046688,0.009347681,0.00000614,0.0162573786,20.6510260286,0.0001519912,5.463772273,56.5
57,0.0008533333,0.0134082282,0,0.0001515246,0.0012022649,0.0105626295,6.1398E-06,0.0154306671,20.047971949,0.0001630106,4.8805789879,57.5
58,0.0009086667,0.0154511439,0,0.0001676366,0.0013035332,0.0118925559,6.1396E-06,0.0147839763,19.4250931011,0.0001758416,4.4028519286,58.5
59,0.000964,0.0177414272,0,0.0001837486,0.0014084737,0.0133411868,6.1393E-06,0.014317306,18.7866185831,0.0001910327,4.0144854478,59.5
60,0.0010193333,0.020289565,0,0.0001998606,0.0015170864,0.0149115609,6.1389E-06,0.0140306563,18.1364942425,0.0002092427,3.7018160617,60.5
61,0.0010746667,0.0231006955,0,0.0002159727,0.0016451849,0.016613687,6.1386E-06,0.0139120454,17.4782361301,0.0002311558,3.4506777122,61.5
