"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Males, Disease: CHD (Rates * ), sex: Males",,,,,,,,,,,,
"Written 04/06/2016, 16:57:22",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
74,0.0081778648,0.1287762213,0,0.0075439316,0.0094916735,0.1750705629,6.1419E-06,0.0431787394,7.5102121073,0.0075596354,2.1964981899,74.5
75,0.0085868544,0.1314072821,0,0.0084595185,0.0100013472,0.1804981917,6.1422E-06,0.0469769297,7.0575994989,0.0084795194,2.1666552834,75.5
76,0.0090408157,0.1340383429,0,0.0093008957,0.0105635988,0.1853989125,0.000006142,0.050295772,6.6200524834,0.0093250103,2.1195425293,76.5
77,0.0095470797,0.1366694037,0,0.0101422729,0.0111874023,0.1898131711,6.1415E-06,0.053581798,6.1940395197,0.0101707185,2.0705058981,77.5
78,0.0101129777,0.1400913369,0,0.0114748974,0.0118962411,0.1935731983,6.1422E-06,0.0594587173,5.7832417684,0.0115096145,2.0685086266,78.5
79,0.0107458408,0.14351327,0,0.0128075219,0.0126848233,0.1964983484,6.1421E-06,0.0653871181,5.3913069884,0.0128482183,2.0574307308,79.5
80,0.011453,0.1469352032,0,0.0143116962,0.0135613393,0.1985478725,6.1421E-06,0.0723218472,5.0179351169,0.0143587152,2.0506351682,80.5
81,0.0122372851,0.1503571363,0,0.0156604883,0.0145300674,0.1997432035,6.1421E-06,0.0786651157,4.6623830048,0.0157118227,2.0224255635,81.5
82,0.01308352,0.1537790695,0,0.0170092803,0.015575875,0.2001949395,6.1422E-06,0.0852421787,4.3231239954,0.017063641,1.9849960315,82.5
83,0.013972027,0.1560062985,0,0.0188322442,0.0166424584,0.199747305,6.1418E-06,0.0945981307,4.0054094354,0.0188933101,1.9658450754,83.5
84,0.0148831287,0.1582335275,0,0.020655208,0.0177406138,0.1982086916,0.000006142,0.1045578716,3.7140408426,0.0207205579,1.9465018932,84.5
85,0.0157971474,0.1604607565,0,0.0245726731,0.0188484705,0.1947491413,6.1419E-06,0.1266229156,3.4634388803,0.0246500659,2.0321061121,85.5
86,0.0166944055,0.1626879855,0,0.0254418886,0.0199486286,0.1895758771,6.1417E-06,0.1345955268,3.2446635086,0.0255055834,2.0153364856,86.5
87,0.0175552255,0.1649152145,0,0.0262649214,0.0210199171,0.1840371609,6.1419E-06,0.1430339561,3.0216028974,0.0263122418,2.0387677711,87.5
