"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: CHD (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:15:23",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
87,0.0111201538,0.1595108518,0,0.0119362101,0.0145185332,0.1232811705,6.1407E-06,0.0959547702,4.1989946921,0.0118315812,1.9916415319,87.5
88,0.0117154615,0.1607694783,0,0.0135012494,0.015319586,0.1263915106,6.1412E-06,0.1058206131,3.9513343452,0.0133766399,2.1030307801,88.5
89,0.0123107692,0.1618634746,0,0.0150662887,0.0161377977,0.1287677227,0.000006141,0.1158535205,3.6704652458,0.0149194212,2.3218287277,89.5
90,0.0129060769,0.1628124615,0,0.0166313279,0.0169800834,0.1304170547,6.1412E-06,0.1261965225,3.40194293,0.0164585666,2.0765070608,90.5
91,0.0135013846,0.1636342231,0,0.0181963672,0.0178540954,0.1313564918,6.1411E-06,0.1369813731,3.1815552411,0.0179926673,2.066876654,91.5
92,0.0140966923,0.1643447399,0,0.0197614064,0.0187666512,0.1316113166,0.000006141,0.1483309124,2.9754639393,0.0195198951,2.0572383586,92.5
93,0.014692,0.1649582682,0,0.0213022758,0.0197247471,0.1312283964,6.1408E-06,0.1601711941,2.7821670361,0.0210152256,2.0473326486,93.5
94,0.014692,0.1654874492,0,0.0228431451,0.019831952,0.129881278,6.1413E-06,0.1732740664,2.6007437416,0.022496886,2.0421414307,94.5
95,0.014692,0.1659434342,0,0.0243840145,0.0200107673,0.1272209324,0.000006141,0.1884101259,2.4321328843,0.0239560001,2.0451648777,95.5
96,0.014692,0.1663360177,0,0.0259248838,0.0202562809,0.1233094759,6.1406E-06,0.2060550485,2.2790539902,0.0253877311,2.0573111084,96.5
97,0.014692,0.1666737711,0,0.0274657532,0.0205626268,0.1182134011,6.1412E-06,0.2268429314,2.1466611622,0.0267858307,2.0799089873,97.5
98,0.014692,0.1669641713,0,0.0290066225,0.0209225733,0.1120045624,6.1399E-06,0.2516523007,2.0450090014,0.0281439154,2.114947413,98.5
99,0.014692,0.1672137238,0,0.0290066225,0.0212975036,0.1053758015,6.1411E-06,0.2664355336,1.9781039203,0.0280317949,2.1021102932,99.5
100,0.014692,0.1674280757,0,0.0290066225,0.0216472699,0.0990366136,6.1395E-06,0.2824136509,1.9508947794,0.0279233141,2.0942497968,103.3716679658
,,,,,,,,,,,,
All ages,NA,0.0268555535,NA,0.0009792023,0.0017608133,0.0173779848,6.1409E-06,0.0557430942,10.1378560182,0.0009686121,2.5618150344,75.1669806702
