Age,Sex,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
50,Female,311654,309319,310428,312941,310016,318080,327730,339103,345073,352078,366327,379028,388016,396708,401127,399495,397190,392953,393572,384330,394261,380076,365033,351406,344933,338833,331878,337403,362544,378564
51,Female,321673,310817,307496,308986,311715,308828,316797,327081,338086,344142,351937,365691,378573,387863,396881,401019,399173,396878,392643,393247,383997,393901,379728,364731,351146,344699,338622,331690,337216,362321
52,Female,331503,320744,309105,305616,307969,310515,307297,316233,326126,336781,344086,351269,365035,378286,387546,396381,400516,398684,396393,392156,392736,383499,393375,379243,364295,350755,344335,338283,331377,336902
53,Female,356518,330373,318990,307323,304060,306929,308993,306310,315366,325004,336435,343355,350453,364670,377934,387188,395710,399847,398021,395730,391482,392059,382837,392706,378620,363722,350231,343840,337815,330935
54,Female,375317,354829,328384,317093,305817,302560,305585,308088,305134,314222,324806,335745,342607,349919,364134,377429,386454,394967,399093,397268,394965,390725,391295,382113,391974,377936,363092,349651,343290,337291
55,Female,306521,374778,351781,326375,315304,304599,301354,303763,307396,304273,313516,324018,335003,341969,349338,363481,376628,385641,394130,398236,396402,394106,389873,390459,381319,391172,377184,362400,349011,342684
56,Female,299427,304597,372844,349010,324287,313959,303561,299020,303183,306457,303305,312603,323117,334422,341409,348791,362650,375770,384753,393206,397287,395462,393170,388968,389570,380476,390318,376385,361664,348333
57,Female,292016,297589,301600,371279,346333,322767,312712,301376,297884,302355,305403,302330,311639,322495,333803,340724,347923,361753,374825,383771,392180,396249,394429,392165,387996,388614,379567,389395,375522,360867
58,Female,279209,290940,294864,299007,369940,344223,321356,310572,300309,296518,301455,304449,301386,310909,321841,333131,339806,347000,360776,373793,382694,391072,395123,393332,391099,386962,387598,378601,388415,374604
59,Female,252307,277556,288747,292239,296324,368827,342186,318848,309305,299048,295038,300414,303496,300641,310270,321114,332177,338849,346012,359726,372684,381550,389891,393948,392187,389986,385885,386538,377596,387394
60,Female,237163,250828,275800,287100,289389,293498,367027,339989,317116,307560,297457,293748,299317,302566,299840,309389,320062,331099,337741,344870,358518,371421,380249,388575,392636,390908,388741,384679,385350,376466
61,Female,247710,235186,249379,273689,284874,286575,290511,365799,337662,315238,305710,296230,292505,298300,301716,298888,308267,318916,329898,336506,343598,357186,370028,378838,387148,391214,389521,387388,383368,384058
62,Female,248572,245684,233144,247441,271115,282899,283686,288234,364507,335077,313305,304410,294972,291561,297305,300709,297774,307133,317723,328644,335213,342272,355790,368592,377382,385674,389746,388088,385992,382016
63,Female,245573,246546,243626,230738,244912,268633,280710,281392,285741,362960,332459,311786,302809,293852,290531,296178,299498,296615,305920,316443,327296,333832,340853,354323,367081,375850,384124,388202,386581,384523
64,Female,240132,243353,244477,241130,227732,242593,265915,279034,278980,283118,361362,330540,310164,301564,292647,289204,294838,298174,295314,304557,315011,325803,332302,339308,352729,365439,374188,382444,386526,384946
65,Female,234173,237617,241052,241833,238540,223923,239978,263977,277303,276347,280482,358949,328499,308405,299998,290909,287635,293277,296597,293760,302941,313335,324063,330550,337542,350907,363568,372295,380530,384618
66,Female,227430,231560,235011,238408,239220,235092,221056,238021,261638,275324,273585,278388,356306,326313,306150,297841,288991,285803,291417,294722,291914,301043,311374,322058,328531,335505,348813,361422,370124,378337
67,Female,219477,224840,228872,232063,235649,235387,231801,218704,235853,259079,273394,271365,276213,353767,323972,303965,295635,286932,283791,289373,292666,289897,298969,309251,319886,326344,333301,346545,359098,367772
68,Female,219492,216599,222127,225656,228919,231773,232286,229230,215981,233545,256467,270906,268893,273947,350805,321316,301464,293298,284702,281609,287157,290441,287713,296742,306971,317543,323975,330911,344088,356578
69,Female,221164,216174,213520,218889,222342,224970,228365,229526,226381,213094,231079,253841,268208,266439,271426,347446,318266,298726,290680,282199,279157,284677,287954,285287,294267,304420,314914,321328,328242,341343
70,Female,223539,217596,212621,210090,215624,218417,221444,225278,226501,223100,210047,228438,250949,265287,263503,268496,343659,314942,295671,287754,279396,276420,281912,285192,282590,291498,301568,311999,318393,325283
71,Female,219617,219375,213805,208775,206576,211677,214685,218023,221932,223265,219818,207374,225686,248071,262068,260330,265277,339619,311323,292338,284558,276339,273432,278903,282187,279644,288485,298488,308852,315222
72,Female,212568,215105,214972,209529,204603,202511,207888,211182,214415,218412,219848,216685,204484,222594,244725,258633,256849,261853,335241,307395,288715,281088,273017,270195,275643,278930,276463,285241,295171,305461
73,Female,204674,207559,210314,210155,205146,199758,198331,204162,207248,210564,214700,216277,213191,201374,219236,240970,254742,253124,258112,330468,303102,284759,277294,269393,266662,272084,275373,272986,281696,291547
74,Female,202988,199323,202349,205191,205116,200149,195013,194272,200019,203143,206560,211109,212541,209505,197850,215415,236910,250586,249059,254029,325266,298425,280441,273161,265442,262807,268199,271491,269189,277824
75,Female,199841,196960,193672,196468,199735,199549,195144,190292,189793,195730,198752,202392,206900,208461,205465,194006,211368,232591,246074,244643,249592,319622,293347,275757,268674,261150,258618,263977,267271,265061
76,Female,194091,193097,190447,187738,190387,193815,193739,190072,185208,185170,191159,194433,197895,202596,203832,201052,189953,207084,227922,241194,239866,244792,313516,287855,270689,263814,256501,254078,259401,262695
77,Female,189789,187076,186014,183585,181453,183882,187779,187969,184630,179908,180146,186486,189512,193210,197446,198870,196271,185604,202393,222812,235857,234639,239538,306851,281849,265139,258490,251402,249097,254378
78,Female,185579,182195,179548,178518,176547,174537,177369,181459,181782,178955,174360,174992,181068,184600,187780,192134,193509,191167,180861,197277,217243,230039,228939,233811,299589,275301,259083,252675,245828,243648
79,Female,187286,177527,174034,171555,170641,169050,167607,170694,174774,175432,172787,168761,169170,175728,178815,182152,186274,187816,185632,175710,191722,211196,223719,222748,227586,291696,268172,252484,246336,239748
80,Female,189313,177907,168621,165557,163336,162866,161330,160404,163397,167813,168522,166411,162529,163433,169178,172691,175829,180038,181629,179611,170101,185674,204612,216840,216006,220802,283091,260397,245280,239408
81,Female,177753,178817,168156,159443,156676,154990,154701,153254,152654,155936,160681,161376,159404,156189,156542,162538,165849,169112,173273,174911,173068,164001,179096,197455,209358,208665,213410,273719,251916,237413
82,Female,126503,166210,167659,157818,150160,147706,146246,146020,144937,145056,148184,152912,153448,152268,148746,149427,155164,158597,161842,165941,167624,165965,157373,171952,189679,201225,200679,205359,263512,242668
83,Female,103627,118392,154219,155988,147373,140877,138704,137198,137232,136381,136864,140127,144542,145592,143927,141087,141693,147420,150816,154031,158057,159782,158316,150232,164248,181288,192444,192048,196652,252465
84,Female,107144,95447,110124,141824,144441,136542,131025,129060,127902,128281,127404,128337,131209,136299,136326,135397,132740,133611,139149,142494,145669,149610,151372,150106,142559,155964,172261,182989,182746,187260
