"age","sex","qimd","year","pop"
25,"1","4","2002",75630.8
26,"1","4","2002",75630.8
27,"1","4","2002",75630.7999999998
28,"1","4","2002",75630.8
29,"1","4","2002",75630.8
30,"1","4","2002",83582
31,"1","4","2002",83582
32,"1","4","2002",83582
33,"1","4","2002",83582
34,"1","4","2002",83582
35,"1","4","2002",80343
36,"1","4","2002",80343
37,"1","4","2002",80343
38,"1","4","2002",80343
39,"1","4","2002",80343
40,"1","4","2002",68867.6000000001
41,"1","4","2002",68867.6000000001
42,"1","4","2002",68867.5999999996
43,"1","4","2002",68867.6000000001
44,"1","4","2002",68867.6000000001
45,"1","4","2002",58368.7999999998
46,"1","4","2002",58368.8000000003
47,"1","4","2002",58368.7999999998
48,"1","4","2002",58368.8000000003
49,"1","4","2002",58368.7999999998
50,"1","4","2002",57594.6000000001
51,"1","4","2002",57594.6000000001
52,"1","4","2002",57594.6000000001
53,"1","4","2002",57594.5999999996
54,"1","4","2002",57594.6000000001
55,"1","4","2002",53088.8000000003
56,"1","4","2002",53088.7999999998
57,"1","4","2002",53088.7999999998
58,"1","4","2002",53088.8000000003
59,"1","4","2002",53088.7999999998
60,"1","4","2002",42827.6000000001
61,"1","4","2002",42827.6000000001
62,"1","4","2002",42827.6000000001
63,"1","4","2002",42827.5999999996
64,"1","4","2002",42827.6000000001
65,"1","4","2002",38272.2000000002
66,"1","4","2002",38272.2000000002
67,"1","4","2002",38272.1999999993
68,"1","4","2002",38272.2000000002
69,"1","4","2002",38272.2000000002
70,"1","4","2002",33234.7999999998
71,"1","4","2002",33234.7999999998
72,"1","4","2002",33234.8000000007
73,"1","4","2002",33234.7999999998
74,"1","4","2002",33234.7999999998
75,"1","4","2002",26275
76,"1","4","2002",26275
77,"1","4","2002",26275
78,"1","4","2002",26275
79,"1","4","2002",26275
80,"1","4","2002",17113.4000000004
81,"1","4","2002",17113.3999999994
82,"1","4","2002",17113.4000000004
83,"1","4","2002",17113.3999999994
84,"1","4","2002",17113.4000000004
85,"1","4","2002",7395
86,"1","4","2002",7395
87,"1","4","2002",7395
88,"1","4","2002",7395
89,"1","4","2002",7395
90,"1","4","2002",2829.40000000037
91,"1","4","2002",2829.39999999944
92,"1","4","2002",2829.40000000037
93,"1","4","2002",2829.39999999944
94,"1","4","2002",2829.40000000037
95,"1","4","2002",2829.40000000037
96,"1","4","2002",2829.39999999944
97,"1","4","2002",2829.40000000037
98,"1","4","2002",2829.39999999944
99,"1","4","2002",2829.40000000037
100,"1","4","2002",2829.44109554496
0,"1","5","2002",73775
1,"1","5","2002",72286.75
2,"1","5","2002",72286.75
3,"1","5","2002",72286.75
4,"1","5","2002",72286.75
5,"1","5","2002",74399.8
6,"1","5","2002",74399.8
7,"1","5","2002",74399.8
8,"1","5","2002",74399.7999999999
9,"1","5","2002",74399.8
10,"1","5","2002",75120.6
11,"1","5","2002",75120.6000000001
12,"1","5","2002",75120.6
13,"1","5","2002",75120.6
14,"1","5","2002",75120.6
15,"1","5","2002",71562
16,"1","5","2002",71562
17,"1","5","2002",71562
18,"1","5","2002",71562
19,"1","5","2002",71562
20,"1","5","2002",69596.8
21,"1","5","2002",69596.8
22,"1","5","2002",69596.8
23,"1","5","2002",69596.7999999998
24,"1","5","2002",69596.8
25,"1","5","2002",72984
26,"1","5","2002",72984
27,"1","5","2002",72984
28,"1","5","2002",72984
29,"1","5","2002",72984
30,"1","5","2002",80777
31,"1","5","2002",80777
32,"1","5","2002",80777
33,"1","5","2002",80777
34,"1","5","2002",80777
35,"1","5","2002",76426.6000000001
36,"1","5","2002",76426.6000000001
37,"1","5","2002",76426.6000000001
38,"1","5","2002",76426.5999999996
39,"1","5","2002",76426.6000000001
40,"1","5","2002",65275.2000000002
41,"1","5","2002",65275.1999999997
42,"1","5","2002",65275.2000000002
43,"1","5","2002",65275.2000000002
44,"1","5","2002",65275.1999999997
45,"1","5","2002",54813
46,"1","5","2002",54813
47,"1","5","2002",54813
48,"1","5","2002",54813
49,"1","5","2002",54813
50,"1","5","2002",52740.8000000003
51,"1","5","2002",52740.7999999998
52,"1","5","2002",52740.7999999998
53,"1","5","2002",52740.8000000003
54,"1","5","2002",52740.7999999998
55,"1","5","2002",46729.8000000003
56,"1","5","2002",46729.7999999998
57,"1","5","2002",46729.7999999998
58,"1","5","2002",46729.8000000003
59,"1","5","2002",46729.7999999998
60,"1","5","2002",40597.8000000003
61,"1","5","2002",40597.7999999998
62,"1","5","2002",40597.7999999998
63,"1","5","2002",40597.8000000003
64,"1","5","2002",40597.7999999998
65,"1","5","2002",36681.7999999998
66,"1","5","2002",36681.8000000007
67,"1","5","2002",36681.7999999998
68,"1","5","2002",36681.7999999998
69,"1","5","2002",36681.7999999998
70,"1","5","2002",31091
71,"1","5","2002",31091
72,"1","5","2002",31091
73,"1","5","2002",31091
74,"1","5","2002",31091
75,"1","5","2002",24272
76,"1","5","2002",24272
77,"1","5","2002",24272
78,"1","5","2002",24272
79,"1","5","2002",24272
80,"1","5","2002",15463
81,"1","5","2002",15463
82,"1","5","2002",15463
83,"1","5","2002",15463
84,"1","5","2002",15463
85,"1","5","2002",6123.60000000056
86,"1","5","2002",6123.59999999963
87,"1","5","2002",6123.59999999963
88,"1","5","2002",6123.60000000056
89,"1","5","2002",6123.59999999963
90,"1","5","2002",2363.40000000037
91,"1","5","2002",2363.39999999944
92,"1","5","2002",2363.40000000037
93,"1","5","2002",2363.40000000037
94,"1","5","2002",2363.39999999944
95,"1","5","2002",2363.40000000037
96,"1","5","2002",2363.39999999944
97,"1","5","2002",2363.40000000037
98,"1","5","2002",2363.40000000037
99,"1","5","2002",2363.39999999944
100,"1","5","2002",2363.43382940255
0,"2","1","2002",48231
1,"2","1","2002",54300
2,"2","1","2002",54300
3,"2","1","2002",54300
4,"2","1","2002",54300
5,"2","1","2002",59578.4
6,"2","1","2002",59578.4
7,"2","1","2002",59578.4
8,"2","1","2002",59578.4
9,"2","1","2002",59578.4
10,"2","1","2002",63620
11,"2","1","2002",63620
12,"2","1","2002",63620
13,"2","1","2002",63620
14,"2","1","2002",63620
15,"2","1","2002",58093.6
16,"2","1","2002",58093.6
17,"2","1","2002",58093.6000000001
