"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Males, Disease: Gastric cancer (Rates * ), sex: Males",,,,,,,,,,,,
"Written 04/06/2016, 15:53:31",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
58,0.0001779647,0.1297627033,0.310891261,9.67449E-05,0.0001780287,0.0003592163,0.1297627033,0.2684682998,2.4987594402,9.67449E-05,37.0104043701,58.5
59,0.000198112,0.1297627033,0.314210145,0.000107616,0.0001981913,0.0004000395,0.1297627033,0.2681600527,2.5159867906,0.000107616,33.7023385846,59.5
60,0.0002125305,0.1297627033,0.317529029,0.000113646,0.000212625,0.0004446118,0.1297627033,0.2548539041,2.5244283881,0.000113646,29.1887158833,60.5
61,0.0002321489,0.1297627033,0.320847913,0.000124073,0.0002322633,0.0004925237,0.1297627033,0.2512006349,2.5125077673,0.000124073,26.1684038352,61.5
62,0.0002517674,0.1275119826,0.324166797,0.000134499,0.0002519045,0.0005443627,0.1275119826,0.2464036144,2.4818355169,0.000134499,23.360770139,62.5
63,0.0002922508,0.1252612619,0.327485681,0.000157941,0.0002924274,0.0006040682,0.1252612619,0.2606514291,2.4452999072,0.000157941,22.4420697499,63.5
64,0.0003327341,0.1241359016,0.330804565,0.000181382,0.0003329586,0.0006743479,0.1241359016,0.2680979992,2.4226404139,0.000181382,21.0107114146,64.5
65,0.0003845107,0.1218851809,0.334123449,0.000208619,0.0003848023,0.0007578254,0.1218851809,0.2742915034,2.4080711107,0.000208619,19.5899677203,65.5
66,0.000426219,0.1207598206,0.3358367802,0.000232495,0.0004265832,0.0008537563,0.1207598206,0.2713812041,2.3909767237,0.000232495,17.7115928202,66.5
67,0.0004679273,0.1196344603,0.3375501114,0.000256371,0.0004683758,0.0009575098,0.1196344603,0.2668784785,2.3557004645,0.000256371,15.9395466905,67.5
68,0.0005243698,0.1185090999,0.3392634426,0.000296828,0.0005249302,0.001067646,0.1185090999,0.2771574707,2.3110523922,0.000296828,15.1071171773,68.5
69,0.0005808122,0.1173837396,0.3409767738,0.000337285,0.0005815,0.0011827279,0.1173837396,0.2843333486,2.2708782707,0.000337285,14.1525967516,69.5
70,0.0006410025,0.1151330189,0.342690105,0.000382805,0.0006418385,0.0013024873,0.1151330189,0.2930742139,2.2330080211,0.000382805,13.3040544438,70.5
71,0.0006977769,0.1128822982,0.3444034362,0.000423804,0.0006987743,0.0014273246,0.1128822982,0.2961227587,2.191956073,0.000423804,12.2583557051,71.5
72,0.0007545513,0.1128822982,0.3461167674,0.000464803,0.0007557273,0.00155612,0.1128822982,0.2979437339,2.1391463314,0.000464803,11.2269539028,72.5
73,0.0008275932,0.1106315776,0.3478300986,0.00052522,0.0008289921,0.0016874238,0.1106315776,0.3105054255,2.0804033035,0.00052522,10.5885886975,73.5
74,0.0009006351,0.1106315776,0.3495434298,0.000585637,0.0009022768,0.0018194779,0.1106315776,0.3211446448,2.0245484613,0.000585637,9.899032058,74.5
75,0.0010030898,0.1106315776,0.351256761,0.000675406,0.0010050502,0.0019505066,0.1106315776,0.3455128093,1.9890620406,0.000675406,9.5806873139,75.5
76,0.001078338,0.1072554966,0.3646822687,0.000738567,0.0010805893,0.0020834463,0.1072554966,0.3537271606,1.9821057023,0.000738567,8.8736757492,76.5
77,0.0011535863,0.1050047759,0.3781077763,0.000801729,0.0011561535,0.0022204253,0.1050047759,0.3603145169,1.9949445254,0.000801729,8.1986911554,77.5
78,0.0011965994,0.1016286949,0.391533284,0.00083886,0.0011994288,0.0023589353,0.1016286949,0.3549247392,2.0257758177,0.00083886,7.3782093307,78.5
79,0.0012396126,0.0903750915,0.4049587917,0.000875991,0.0012427286,0.002507376,0.0903750915,0.3486586087,2.0587049872,0.000875991,6.6384550681,79.5
80,0.0012810592,0.0843589079,0.4183842993,0.000893688,0.0012844995,0.0026783339,0.0843589079,0.3329652813,2.0785786898,0.000893688,5.8370588952,80.5
81,0.0013240197,0.079068242,0.431809807,0.000930029,0.001327825,0.0028658433,0.079068242,0.323876451,2.081955451,0.000930029,5.2094842159,81.5
82,0.0013669802,0.0737775762,0.4452353147,0.000966369,0.001371178,0.003061425,0.0737775762,0.3150666246,2.0727573022,0.000966369,4.6406785892,82.5
83,0.0013744818,0.0684869104,0.4586608223,0.001005675,0.0013789606,0.0032479646,0.0684869104,0.3091833151,2.0516866399,0.001005675,4.1567556355,83.5
84,0.0013819832,0.0631962446,0.47208633,0.00104498,0.0013867101,0.0034087211,0.0631962446,0.3062138442,2.023139827,0.00104498,3.7719766942,84.5
85,0.001413109,0.0579055787,0.4855118377,0.001124922,0.0014181267,0.0035382322,0.0579055787,0.3176874474,2.0047324831,0.001124922,3.5894772261,85.5
86,0.0014235648,0.0526149129,0.4989373453,0.001144763,0.0014287792,0.0036495471,0.0526149129,0.313433604,2.0007753634,0.001144763,3.3644216228,86.5
87,0.0014298338,0.0473242471,0.512362853,0.001161451,0.0014352355,0.0037636603,0.0473242471,0.3083654481,1.9885036023,0.001161451,3.2394688498,87.5
88,0.0014286241,0.0420335813,0.5257883607,0.001184188,0.0014341811,0.0038746613,0.0420335813,0.3054261575,1.949365881,0.001184188,3.2481780667,88.5
89,0.0014280304,0.0367429154,0.5392138683,0.001241045,0.0014337089,0.0039606729,0.0367429154,0.3132345477,1.8636153771,0.001241045,3.4899870934,89.5
90,0.001426937,0.0314522496,0.552639376,0.001301402,0.0014326738,0.0040042733,0.0314522496,0.3249917064,1.7660746379,0.001301402,2.9402325122,90.5
91,0.001426937,0.0314522496,0.552639376,0.001357436,0.0014326631,0.0039968097,0.0314522496,0.3397640491,1.6950385546,0.001357436,2.8651545162,91.5
92,0.001426937,0.0314522496,0.552639376,0.001376284,0.0014325958,0.0039500145,0.0314522496,0.348616366,1.6336830115,0.001376284,2.7617615822,92.5
93,0.001426937,0.0314522496,0.552639376,0.001379852,0.0014325113,0.0038912678,0.0314522496,0.3548082612,1.577457236,0.001379852,2.6527106284,93.5
94,0.001426937,0.0314522496,0.552639376,0.001372082,0.0014324298,0.0038346192,0.0314522496,0.3579984215,1.5231574022,0.001372082,2.539098649,94.5
95,0.001426937,0.0314522496,0.552639376,0.001372082,0.0014323548,0.0037824291,0.0314522496,0.3629380647,1.4695440879,0.001372082,2.4421692476,95.5
96,0.001426937,0.0314522496,0.552639376,0.001372082,0.001432281,0.00373108,0.0314522496,0.3679329245,1.418212725,0.001372082,2.3533341329,96.5
97,0.001426937,0.0314522496,0.552639376,0.001372082,0.0014322086,0.0036807679,0.0314522496,0.3729620158,1.3700921337,0.001372082,2.2718808446,97.5
98,0.001426937,0.0314522496,0.552639376,0.001372082,0.001432138,0.0036316092,0.0314522496,0.3780103353,1.3270710613,0.001372082,2.1971872809,98.5
99,0.001426937,0.0314522496,0.552639376,0.001372082,0.0014320691,0.0035836658,0.0314522496,0.3830671811,1.2932867353,0.001372082,2.1287013412,99.5
100,0.001426937,0.0314522496,0.552639376,0.001372082,0.0014320019,0.0035369633,0.0314522496,0.3881248843,1.2782416206,0.001372082,2.0659267631,102.2463250783
,,,,,,,,,,,,
All ages,NA,NA,NA,0.0001039549,0.0001608823,0.0003383233,0.0997137906,0.3065098563,2.1676990379,0.0001039396,19.4482760603,72.6139663354
