site,sex,Under 1,1­4,5­9,10­14,1519,2024,2529,3034,3539,4044,4549,5054,5559,6064,6569,7074,7579,8084,85 and over
C60          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C61          ,1,,1,,2,1,1,,2,6,57,288,970,2393,5067,6756,6821,6094,3654,2779
C61          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C62          ,1,1,6,2,7,41,180,318,325,286,237,191,105,67,45,21,12,9,8,10
C62          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C63          ,1,,2,1,,,,,1,,,2,7,5,7,8,9,5,5,7
C63          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C64          ,1,4,19,9,2,1,7,12,22,78,139,195,299,357,614,516,616,524,388,314
C64          ,2,5,32,4,1,2,3,10,15,40,49,88,176,210,358,312,350,368,282,325
C65          ,1,,,,,,,,1,1,6,6,17,19,47,43,52,56,50,32
C65          ,2,,,,,,,,1,1,2,4,7,8,20,25,39,35,36,31
C66          ,1,,,,,,,,,,,2,10,14,37,31,59,56,34,24
C66          ,2,,,,,,,,,,,1,2,6,15,18,30,28,24,23
C67          ,1,1,1,,,,1,6,12,16,32,85,155,304,564,825,1069,1184,1074,967
C67          ,2,,,,,,,1,3,10,25,36,55,108,202,260,340,406,440,560
C68          ,1,,,,,,,,,,1,2,7,5,17,18,29,18,24,16
C68          ,2,,,,,,,,,1,,,2,3,3,1,7,3,9,10
C69          ,1,9,13,3,1,1,1,2,7,6,8,14,28,13,25,23,18,19,9,13
C69          ,2,5,11,,1,2,3,3,1,7,9,11,9,14,12,18,17,21,15,11
C70          ,1,,1,2,,,,2,1,2,2,1,2,1,4,2,3,4,2,4
C70          ,2,,,,,,,,2,3,,1,4,3,3,1,7,6,6,10
C71          ,1,13,31,42,27,45,39,61,56,70,89,138,177,192,289,278,262,209,163,89
C71          ,2,13,44,23,24,19,36,37,24,50,77,82,113,149,203,172,185,177,122,115
C72          ,1,4,4,5,1,1,1,4,2,3,7,4,2,5,4,2,4,,2,
C72          ,2,1,5,1,2,1,4,5,4,2,3,3,3,,4,2,1,,1,1
C73          ,1,,,2,2,6,12,27,37,45,51,51,52,63,66,56,55,51,28,26
C73          ,2,,3,,5,33,55,93,133,179,176,170,144,105,126,102,79,62,66,47
C74          ,1,4,11,2,1,,,1,2,,2,3,3,6,7,6,9,7,3,4
C74          ,2,10,11,2,1,2,1,3,1,2,7,5,4,3,11,8,4,10,3,6
C75          ,1,,,3,4,5,3,,2,4,1,2,4,6,8,3,2,3,3,2
C75          ,2,,1,,1,2,3,2,1,3,2,3,3,,5,3,3,6,4,5
C76          ,1,5,6,3,,1,2,1,3,1,4,7,14,8,13,23,22,20,17,37
C76          ,2,2,5,2,1,1,1,1,1,7,3,14,9,16,20,21,23,28,31,92
C77          ,1,,,,,1,,1,5,6,18,22,43,50,51,59,48,36,36,21
C77          ,2,,,,,,,1,7,8,7,13,21,22,39,48,35,34,29,25
C78          ,1,,,,,,1,4,5,6,13,19,32,63,110,132,160,158,165,195
C78          ,2,,,,,,4,4,2,11,23,32,44,65,96,151,163,215,228,322
C79          ,1,,,,1,1,,1,,2,5,10,15,29,49,62,69,63,79,76
C79          ,2,,,,,1,,,3,5,8,15,16,21,44,35,47,66,62,86
C80          ,1,,,,1,1,2,3,6,12,28,40,52,92,161,188,248,271,315,352
C80          ,2,,1,,,1,2,4,8,12,23,44,79,94,119,154,216,327,416,673
C81          ,1,,2,6,19,76,87,79,75,75,72,49,66,52,61,59,42,35,21,11
C81          ,2,,,3,12,64,74,66,47,64,49,43,24,47,41,35,32,33,17,18
C82          ,1,,,1,2,2,7,10,21,35,46,69,81,117,143,129,135,87,55,42
C82          ,2,,,,,1,,5,14,22,44,72,94,106,147,172,149,106,92,59
C83          ,1,,8,12,10,19,25,30,52,67,104,129,145,219,389,386,428,409,323,191
C83          ,2,,5,4,5,4,19,26,28,30,57,77,109,181,241,269,295,348,305,259
C84          ,1,,1,2,3,5,2,7,10,9,18,21,25,51,40,40,56,51,38,19
C84          ,2,,,2,,,1,7,4,8,9,19,9,26,40,19,24,30,29,26
C85          ,1,,4,3,9,5,8,15,11,30,37,44,69,100,132,147,167,182,133,149
C85          ,2,,1,3,8,6,2,8,13,23,20,24,60,73,122,137,140,151,150,163
C88          ,1,,,,,,1,,,2,,,5,9,12,21,23,20,23,26
C88          ,2,,,,,,,,,,1,,2,5,8,9,8,16,11,22
C90          ,1,,,,,,1,3,1,23,30,62,108,144,253,321,365,367,261,246
C90          ,2,,,,,,,3,5,14,25,46,60,112,195,199,273,300,245,279
C91          ,1,3,100,52,34,25,15,11,17,25,35,65,111,155,267,256,335,290,239,214
C91          ,2,9,68,39,30,11,5,8,7,17,25,29,57,81,136,150,167,190,166,200
C92          ,1,5,12,8,13,17,33,29,28,40,58,69,77,103,154,187,249,226,223,184
C92          ,2,3,12,7,10,17,20,33,18,29,35,62,77,74,109,137,148,177,179,262
C93          ,1,1,,,1,2,,,1,,,2,1,3,1,3,3,5,3,2
C93          ,2,,1,,,,1,,1,3,1,1,1,2,1,4,3,1,2,5
C94          ,1,2,3,,,1,,,,1,1,2,1,1,5,3,2,3,3,3
C94          ,2,,2,,,,,,,1,,1,,2,1,1,1,1,2,4
C95          ,1,1,6,4,1,,2,2,3,3,2,4,1,5,4,4,10,19,8,14
C95          ,2,,7,1,,1,2,,2,,2,2,3,5,6,5,9,10,7,25
C96          ,1,1,1,,,,,1,2,1,1,,4,2,2,7,5,4,3,4
C96          ,2,,1,,,,1,1,,1,5,2,3,1,2,3,,3,,1
C97          ,1,,,,,1,,,,,1,,1,2,3,3,2,2,3,
C97          ,2,,,,,,,,2,1,3,4,1,3,3,4,2,3,1,3
D00          ,1,,,,,,,,,3,7,17,26,37,52,50,55,45,47,32
D00          ,2,,,,,,1,1,2,2,4,9,10,7,13,24,28,23,26,26
