"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Females, Disease: Gastric cancer (Rates * ), sex: Females",,,,,,,,,,,,
"Written 04/06/2016, 16:00:00",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
72,0.0002770744,0.1232094017,0.2980970114,0.0001598322,0.000276957,0.0005552635,0.1234532612,0.2880580724,2.2317170887,0.0001604187,16.385826727,72.5
73,0.0003014253,0.1175139709,0.2987990445,0.0001837147,0.0003016038,0.0006137785,0.1175190621,0.2985769519,2.1902013185,0.0001837302,15.2221822077,73.5
74,0.0003257763,0.1117204578,0.3061918785,0.0002075971,0.0003260643,0.0006711155,0.1116756588,0.3083791821,2.1443765413,0.0002074262,14.0578945694,74.5
75,0.0003475298,0.1058210129,0.3176514308,0.0002379186,0.0003480921,0.0007237035,0.1056497687,0.3270351975,2.10180254,0.0002370807,13.293559258,75.5
76,0.0003717,0.099817956,0.3300676518,0.0002624655,0.0003722757,0.0007717614,0.0996858644,0.3385125134,2.0679129265,0.0002616639,12.3025831259,76.5
77,0.0003958703,0.0937542855,0.3426260419,0.0002870122,0.0003964153,0.0008195869,0.0936710256,0.3489088536,2.0361928599,0.0002863858,11.3721199115,77.5
78,0.0004317502,0.0876831692,0.3545322811,0.0003182733,0.0004324848,0.0008704454,0.0875772872,0.3638709196,2.0118801536,0.0003172595,10.6631684384,78.5
79,0.0004676301,0.081657775,0.3627772166,0.0003495345,0.0004685593,0.0009275436,0.0815426799,0.3746468976,2.0013206662,0.0003481346,9.8961152283,79.5
80,0.0005279049,0.0757312708,0.3649811175,0.0003715721,0.0005285719,0.0010062591,0.0757083524,0.3678290074,1.9879024707,0.0003712281,8.7905559701,80.5
81,0.0005655232,0.0699568244,0.3634967717,0.000402076,0.0005660882,0.0011073246,0.0699654045,0.3622404117,1.9492181093,0.0004022385,7.8037840186,81.5
82,0.0006031414,0.0643876037,0.3629660386,0.0004325799,0.0006035153,0.0012152694,0.0644284069,0.3558210507,1.8738282455,0.000433555,6.8728930369,82.5
83,0.0006113229,0.0590767765,0.3724545443,0.0004749219,0.0006116768,0.0013106919,0.0591219588,0.3628512003,1.7569601788,0.0004763204,6.2127175125,83.5
84,0.0006195042,0.0540775108,0.3986122987,0.0005665522,0.0006211836,0.0013534224,0.0540057936,0.4164193064,1.6373842006,0.0005633418,6.2155268021,84.5
85,0.0006559414,0.0494429743,0.4340030791,0.000631516,0.000658357,0.0013487912,0.0493458005,0.4643408483,1.5549404731,0.0006256282,6.1509165117,85.5
86,0.0006684623,0.0452263351,0.4686774458,0.0006636891,0.0006707519,0.0013262514,0.0451557341,0.4971464706,1.5045137943,0.0006582802,6.0326061387,86.5
87,0.0006762498,0.0414807608,0.4967193228,0.0006797652,0.0006783883,0.0012937601,0.0414298196,0.5226734607,1.4780751844,0.0006749865,6.0455989908,87.5
88,0.0006748415,0.0382594195,0.5146521709,0.0006724629,0.0006764683,0.0012628117,0.0382333833,0.5310891417,1.4618572245,0.0006696262,6.1816516423,88.5
89,0.0006741372,0.0356154789,0.5247242315,0.0006672997,0.0006755681,0.0012392069,0.0355984561,0.5374669837,1.4309363303,0.0006651712,6.6970229351,89.5
90,0.0006728399,0.0336021069,0.5303158037,0.0006606768,0.0006740956,0.0012227236,0.033591187,0.5396412598,1.3940769209,0.0006591609,5.2717806885,90.5
91,0.0006728399,0.0322697195,0.5336106348,0.0006570305,0.0006740151,0.0012123928,0.0322614542,0.5413500766,1.3674838253,0.0006557903,4.9233598066,91.5
92,0.0006728399,0.0316054384,0.5362622919,0.000655804,0.0006739831,0.0012056327,0.0315981502,0.5434110223,1.3389439091,0.0006546667,4.6121894076,92.5
93,0.0006728399,0.0315330909,0.5390001744,0.0006555719,0.0006739621,0.0012000731,0.0315262424,0.5457827358,1.3087833717,0.0006544985,4.3339767297,93.5
94,0.0006728399,0.0319737526,0.5421596216,0.0006560775,0.0006739563,0.0011942367,0.031966785,0.5489055631,1.2775244435,0.000655014,4.0876800677,94.5
95,0.0006728399,0.0328484991,0.5454239016,0.0006560775,0.0006739471,0.0011874782,0.0328413074,0.5520716734,1.2456553209,0.0006550346,3.8659279318,95.5
96,0.0006728399,0.0340784058,0.5486953676,0.0006560775,0.0006739595,0.0011796631,0.0340702736,0.5557156778,1.2133455031,0.0006549803,3.6684041395,96.5
97,0.0006728399,0.0355845482,0.5534047857,0.0006560775,0.0006739411,0.0011704561,0.0355760696,0.5601719924,1.1812373648,0.0006550275,3.4939758262,97.5
98,0.0006728399,0.0372880018,0.5605986457,0.0006560775,0.0006738587,0.0011594458,0.0372809982,0.5657730647,1.1509215097,0.0006552856,3.3413892302,98.5
99,0.0006728399,0.0391098421,0.5682579212,0.0006560775,0.0006738014,0.0011464524,0.0391037721,0.5723929159,1.1259597165,0.0006554528,3.2075823747,99.5
100,0.0006728399,0.0409711447,0.5735972062,0.0006560775,0.0006738786,0.0011318305,0.040961539,0.5795909359,1.1143697763,0.0006551743,3.0888350367,103.1026756882
,,,,,,,,,,,,
All ages,NA,NA,NA,6.10178E-05,0.000083248,0.0001525047,0.0965913527,0.3987120366,1.8119563618,6.09076E-05,40.4858662886,76.1691737232
