"DisMod II input and output, database England Wales 2011",,,,,,,,,,,,
"Disease: Gastric cancer (Rates), sex: Males",,,,,,,,,,,,
"Written 25/08/2015, 13:31:08",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
73,0.0006528051,0.1126830618,0.3034186022,0.0004159526,0.0006432049,0.0013535689,0.1052391276,0.3042761763,2.2271687559,0.0004127658,11.8705492982,73.5
74,0.0007067601,0.1117476494,0.3111267997,0.0004538564,0.0006957071,0.0014590072,0.1037178736,0.3091715385,2.2018332024,0.0004520583,11.0271299783,74.5
75,0.0007605294,0.110812237,0.3185772939,0.0004933613,0.000749745,0.0015699375,0.1017059741,0.3131403749,2.1779824467,0.0004926575,10.2366997171,75.5
76,0.000814002,0.1055215712,0.3257700848,0.0005348652,0.0008029134,0.0016855972,0.0990314468,0.317233317,2.1540462286,0.0005358215,9.5119391355,76.5
77,0.000867067,0.1002309053,0.3327051724,0.0005787658,0.0008552126,0.0018040791,0.0956942915,0.3214503648,2.1291469993,0.0005810477,8.8337779124,77.5
78,0.0009195942,0.0949402395,0.3393825567,0.0006254425,0.0009066423,0.0019242302,0.0916945084,0.3257915182,2.1022106326,0.0006280469,8.1875318126,78.5
79,0.0009710112,0.0896495737,0.3458022376,0.0006748475,0.0009572027,0.0020454189,0.0870320975,0.3302567774,2.0719258595,0.0006766817,7.5612899869,79.5
80,0.001020303,0.0843589079,0.3519642153,0.0007265065,0.0010068938,0.0021673695,0.0817070586,0.3348461422,2.0367030652,0.0007269222,6.9471642848,80.5
81,0.0010664357,0.079068242,0.358043865,0.0007799264,0.0010525269,0.0022877125,0.0763674211,0.34001395,1.9959220133,0.0007790112,6.3485124339,81.5
82,0.0011083753,0.0737775762,0.36429889,0.0008346142,0.0010941022,0.0024024913,0.0710131849,0.3457602008,1.9508126478,0.0008317788,5.7625796508,82.5
