"DisMod II input and output, database England Wales 2011",,,,,,,,,,,,
"Disease: Gastric cancer (Rates), sex: Females",,,,,,,,,,,,
"Written 25/08/2015, 13:32:50",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
59,0.000055086,0.1899092902,0.2653821813,3.91619E-05,5.68433E-05,0.0001082902,0.1872459778,0.3008292729,2.0586775301,3.26245E-05,64.339113156,59.5
60,5.99426E-05,0.1856116472,0.2693511865,3.99771E-05,6.15414E-05,0.0001157689,0.1835268642,0.2994401955,2.0716865449,3.47321E-05,58.6617594177,60.5
61,6.55417E-05,0.1810420217,0.2735564141,4.07922E-05,6.68173E-05,0.0001250773,0.1796168482,0.2961278181,2.0778833878,3.71228E-05,53.1644248107,61.5
62,0.000071796,0.176247753,0.2779435163,4.16073E-05,7.25502E-05,0.0001362999,0.1755280218,0.290604641,2.0670932317,0.000039709,47.8567757219,62.5
63,7.86344E-05,0.1712761807,0.2824581452,4.97116E-05,8.01089E-05,0.0001488648,0.1700594059,0.3046791477,2.0478441688,4.54672E-05,45.9997526804,63.5
64,8.63543E-05,0.1661746442,0.2870459527,5.78159E-05,8.84279E-05,0.0001624167,0.1647158177,0.3152157671,2.0368084787,5.13254E-05,43.6443407084,64.5
65,9.56218E-05,0.160990483,0.291652591,6.59202E-05,9.81987E-05,0.0001777222,0.1594723936,0.3230414696,2.031043123,5.75696E-05,40.9900537399,65.5
66,0.000107119,0.1557618384,0.2962550389,7.40245E-05,0.0001100887,0.000195836,0.1543265833,0.3284138095,2.027449786,0.000064516,38.1257422792,66.5
67,0.0001215278,0.1504900589,0.3009555831,8.21288E-05,0.0001247079,0.0002180201,0.1492520591,0.3313375522,2.0214300474,7.24967E-05,35.1012131592,67.5
68,0.0001394937,0.145167295,0.3058878369,9.76367E-05,0.0001438055,0.0002452771,0.1438346039,0.3411148448,2.0161670503,8.40024E-05,32.8427586131,68.5
69,0.0001608155,0.1397856969,0.3111854138,0.0001131445,0.0001659271,0.0002784013,0.1385374188,0.347322348,2.017529127,9.71162E-05,30.3060239922,69.5
70,0.0001844457,0.1343374151,0.3169819272,0.0001286523,0.0001899002,0.000317719,0.1332723796,0.3511626521,2.0224785133,0.0001120695,27.7055785317,70.5
71,0.0002093,0.1288145999,0.3234109906,0.0001441601,0.0002145735,0.0003624902,0.1279782647,0.3535098996,2.0286216783,0.0001286989,25.1753247417,71.5
72,0.0002342941,0.1232094017,0.3306062173,0.0001596679,0.0002388884,0.0004113411,0.1226095186,0.3550776426,2.0339969804,0.0001466438,22.7987141416,72.5
73,0.0002583789,0.1175139709,0.3387012208,0.0001743979,0.0002617544,0.0004625951,0.1171482369,0.3558078873,2.0362767626,0.0001651843,20.5862032309,73.5
74,0.0002813118,0.1117204578,0.3478296146,0.0001891278,0.0002832046,0.0005146648,0.1115537214,0.3568675339,2.0329746172,0.0001842412,18.5996232866,74.5
75,0.0003036568,0.1058210129,0.358125012,0.0002038578,0.0003038989,0.0005665781,0.1058153502,0.3584847202,2.0219994943,0.0002036639,16.8301752856,75.5
76,0.0003260131,0.099817956,0.3696613085,0.0002185878,0.0003244482,0.0006181547,0.0999384146,0.3605856944,2.0002789697,0.0002234365,15.2535154441,76.5
77,0.0003489798,0.0937542855,0.3822735273,0.0002333178,0.0003454346,0.0006698146,0.093969335,0.3628178927,1.9624473642,0.0002435545,13.8381629719,77.5
78,0.0003731232,0.0876831692,0.3957369735,0.0002618914,0.0003697583,0.0007196731,0.0878535217,0.3777295586,1.9136584398,0.0002723391,12.9608692983,78.5
79,0.000398251,0.081657775,0.4098269523,0.0002904649,0.0003949456,0.0007660534,0.0817951912,0.3926622556,1.8641262488,0.0003012779,12.0934903818,79.5
80,0.0004234124,0.0757312708,0.4243187689,0.0003190385,0.0004200692,0.0008097808,0.0758439574,0.4074706775,1.8132747945,0.0003304216,11.2067442645,80.5
81,0.0004476237,0.0699568244,0.4389877286,0.0003476121,0.000444215,0.0008507083,0.0700499433,0.4222496031,1.7605791135,0.0003596405,10.2886226391,81.5
82,0.0004699013,0.0643876037,0.4536091363,0.0003761857,0.0004665092,0.000887947,0.064462727,0.4372530861,1.7061861094,0.0003886317,9.3393148758,82.5
83,0.0004892882,0.0590767765,0.4679582974,0.0004039841,0.0004860163,0.0009202244,0.0591358716,0.4523194229,1.6511446571,0.0004165233,8.3837308137,83.5
84,0.0005054432,0.0540775108,0.481810517,0.0004317825,0.0005026437,0.0009461505,0.054119569,0.4682897038,1.5976786588,0.0004432377,7.5443141537,84.5
