"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Lung cancer (Rates * ), sex: Females",,,,,,,,,,,,
"Written 18/02/2016, 20:41:24",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
57,0.0006316715,0.0793833574,0.4040159318,0.0004207223,0.0006226828,0.0007463307,0.0796386863,0.5651810829,1.5680800738,0.0004259382,143.1344789778,57.5
58,0.0007095972,0.077999054,0.4070881642,0.0004788262,0.0007026718,0.0008627328,0.0781715624,0.556438944,1.5817529744,0.0004844504,129.0764591457,58.5
59,0.0007912097,0.0767064956,0.4099345731,0.0005429603,0.0007875909,0.0009877701,0.0767793082,0.5507729418,1.5889365558,0.0005486879,116.9643453324,59.5
60,0.0008789363,0.0754756081,0.4126178743,0.0006138416,0.0008789947,0.0011205234,0.0754443974,0.5480485338,1.590596827,0.0006190484,106.5350723677,60.5
61,0.0009752768,0.0742763175,0.4152007836,0.0006921943,0.0009788171,0.0012612488,0.0741510322,0.5479176337,1.5881990053,0.0006963761,97.5184844369,61.5
62,0.0010827312,0.0730785497,0.417746017,0.0007787422,0.0010884785,0.0014109212,0.0728809427,0.5499257296,1.5836302872,0.0007816699,89.6694255481,62.5
63,0.0012036355,0.0718522306,0.4203162903,0.0008741385,0.0012073435,0.0015703384,0.0716059692,0.5531926069,1.5789334394,0.0008749759,82.704083388,63.5
64,0.0013365639,0.0705672862,0.4229743194,0.0009774062,0.001334263,0.0017398311,0.0702954801,0.556731625,1.5758176304,0.0009754372,76.3181013725,64.5
65,0.0014763279,0.0691936423,0.4257828202,0.0010859385,0.0014674691,0.0019194875,0.0689207881,0.5596678716,1.575399955,0.0010816418,70.2825855678,65.5
66,0.0016175758,0.0677069455,0.4288079871,0.0011970579,0.0016027171,0.0021081845,0.0674609848,0.5615733467,1.5783052914,0.001191742,64.4834064079,66.5
67,0.0017549557,0.0661057246,0.4321299288,0.0013080867,0.0017351434,0.002302983,0.0658971063,0.5621317783,1.5848971955,0.0013027644,58.8545216756,67.5
68,0.0018832207,0.0643942288,0.4358322329,0.0014163566,0.0018603648,0.0025000538,0.064214801,0.5610966667,1.5952317763,0.0014111413,53.3778603794,68.5
69,0.001999539,0.0625767074,0.4399984865,0.001519413,0.0019759194,0.0026958183,0.0624181659,0.5585006006,1.609117729,0.0015140318,48.1246152019,69.5
70,0.0021034942,0.0606574099,0.4447122771,0.0016150155,0.0020798258,0.0028873774,0.0605159101,0.5544459411,1.6262811221,0.0016092344,43.1650751626,70.5
71,0.0021947744,0.0586405856,0.450057192,0.0017009328,0.002170807,0.0030724724,0.0585150472,0.5490128813,1.6463296533,0.0016949923,38.5451004527,71.5
72,0.0022730682,0.0565304837,0.4561168186,0.0017749337,0.0022504029,0.0032505053,0.0564158092,0.5421929434,1.6685079454,0.0017703661,34.2859847086,72.5
73,0.0023382348,0.0543313536,0.4629747442,0.0018350154,0.0023208579,0.0034231253,0.0542167323,0.5339554817,1.6912439424,0.0018355857,30.3927171179,73.5
74,0.0023940671,0.0520474446,0.4707145562,0.0018844295,0.0023852836,0.0035934497,0.0519191186,0.5245241894,1.7117488594,0.0018925171,26.8679405139,74.5
75,0.0024482912,0.049683006,0.479419842,0.0019316823,0.0024502611,0.0037651981,0.049535332,0.5151401159,1.7265735583,0.0019472323,23.7478547116,75.5
76,0.0025088044,0.0472457445,0.489129599,0.0019855084,0.0025232387,0.003941893,0.0470805023,0.5072986495,1.7329167009,0.0020074154,21.0529007323,76.5
77,0.0025835036,0.0447571959,0.4997044652,0.0020546424,0.0026098352,0.0041258871,0.0445727618,0.5022674759,1.729420437,0.0020801747,18.772529529,77.5
78,0.0026798446,0.0422423532,0.5109604888,0.0021474249,0.0027083516,0.0043164723,0.0420422531,0.5004034698,1.7160411843,0.0021680587,16.8453591012,78.5
79,0.002795124,0.0397262095,0.5227137178,0.0022631328,0.0028152597,0.0045090841,0.0395221216,0.5018358032,1.693575207,0.0022710718,15.1778604313,79.5
80,0.00291648,0.0372337579,0.5347802003,0.002391979,0.0029256645,0.0046962727,0.0370433079,0.5065084168,1.6637357297,0.0023870358,13.6875433344,80.5
81,0.0030306091,0.0347899915,0.5469759846,0.0025237825,0.0030292054,0.0048681215,0.0346279342,0.5136243251,1.6288124381,0.0025086148,12.2986785519,81.5
82,0.0031242078,0.0324199035,0.5591171186,0.0026483622,0.0031141551,0.005012969,0.0322959177,0.5222013113,1.5911726217,0.0026256297,10.9594520927,82.5
83,0.0031843796,0.0301484867,0.5710196506,0.0027556872,0.0031708972,0.0051194322,0.0300681844,0.5313675522,1.5534598452,0.0027274672,9.6741244565,83.5
84,0.0032075922,0.0280007344,0.5824996286,0.0028391741,0.0031982588,0.0051799612,0.0279696949,0.5406927991,1.5188547673,0.0028070501,8.5561420826,84.5
85,0.0031996777,0.0260016397,0.5933731007,0.0028956877,0.0031971776,0.0051924601,0.0260264182,0.5498571968,1.4909505663,0.0028604043,7.6879167037,85.5
86,0.0031668751,0.0241761956,0.6034561151,0.0029222428,0.0031695204,0.0051592761,0.0242637535,0.5583411222,1.4731169643,0.002884931,7.1078897171,86.5
87,0.0031154234,0.0225493952,0.6125647198,0.0029158539,0.0031208688,0.0050887227,0.0227048187,0.5648258801,1.4665005022,0.0028777463,6.83717516,87.5
88,0.0030515617,0.0211462316,0.620514963,0.0028738273,0.0030577331,0.0049954883,0.0213721618,0.5677930069,1.46628158,0.0028394888,6.9184420242,88.5
89,0.002981529,0.0199916978,0.6271228928,0.0028001719,0.0029868287,0.004897132,0.020286092,0.566032491,1.4565567831,0.0027750254,7.4581378665,89.5
90,0.0029115644,0.019110787,0.6322045574,0.0027055998,0.0029156898,0.004809704,0.0194579644,0.5595681277,1.4451306396,0.0026947757,5.7733410453,90.5
91,0.002847907,0.0185272515,0.6355840088,0.0026011146,0.0028520558,0.0047460589,0.0188968954,0.5487321639,1.448293123,0.0026082965,5.2737893591,91.5
92,0.0027967958,0.0182363036,0.6372693931,0.0024977198,0.0028029093,0.0047169169,0.0186031771,0.5340233067,1.4516619754,0.0025236376,4.8062863303,92.5
93,0.0027644699,0.0182046162,0.6374529497,0.0024064187,0.0027722058,0.0047299107,0.0185418056,0.5166061039,1.450460616,0.0024489147,4.3780009076,93.5
94,0.0027550858,0.0183976212,0.6363349225,0.002338215,0.0027631444,0.0047889961,0.0186689526,0.4978115635,1.4376924725,0.0023900847,3.9940432851,94.5
95,0.0027644699,0.0187807506,0.634115555,0.0023041121,0.0027774655,0.0048920558,0.018949637,0.4807132845,1.4038869765,0.0023582055,3.6666541341,95.5
96,0.0027863662,0.0193194363,0.630995091,0.0023159386,0.0028110755,0.0050127594,0.0193842667,0.4753552297,1.3424627752,0.0023891985,3.4391460847,96.5
97,0.0028145186,0.0199791102,0.6271737742,0.0024044992,0.0028584225,0.0050873962,0.0199820966,0.4935239528,1.2586200755,0.0025158288,3.3494712792,97.5
98,0.0028426709,0.0207252043,0.6228518482,0.002619575,0.0029123339,0.0050377381,0.0207127865,0.54117167,1.1719611431,0.0027282834,3.3976651587,98.5
99,0.0028645672,0.0215231505,0.6182295567,0.0030117721,0.002959156,0.0048428207,0.0213876148,0.6009132464,1.1063961496,0.0029084543,3.485676986,99.5
100,0.0028739514,0.0223383807,0.6135071435,0.0036316966,0.0029836142,0.0045723129,0.0217782647,0.6495292092,1.0794129869,0.0029668362,3.5166885625,103.3716679658
,,,,,,,,,,,,
All ages,NA,NA,NA,0.0004520452,0.0005721902,0.0008325448,0.0510114523,0.5397119721,1.5870770827,0.0004514746,52.7005934957,73.6314699399
