site,sex,Under 1,1ğ4,5ğ9,10ğ14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
D35.2        ,2,0,0,0,1,3,7,12,10,21,18,20,24,20,23,20,20,18,13,8
D35.3        ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
D35.3        ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
D35.4        ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
D35.4        ,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, 
D37          ,1,0,0,1,2,5,6,6,7,12,18,34,41,43,70,88,92,100,66,51
D37          ,2,0,0,0,3,8,8,7,12,14,22,30,48,48,77,82,64,81,89,90
D38          ,1,0,0,0,0,1,1,0,0,0,3,4,3,6,8,10,9,12,8,12
D38          ,2,0,0,0,0,0,1,1,3,2,3,4,2,9,11,12,9,9,10,10
D39          ,2,,,,,,,,,,,,,,,,,,, 
D39          ,2,0,1,0,3,8,9,13,12,18,21,41,29,26,32,31,20,11,6,18
D40          ,1,0,0,0,0,2,4,9,7,7,6,3,6,4,4,3,5,4,4,4
D40          ,2,,,,,,,,,,,,,,,,,,, 
D41          ,1,3,0,0,0,4,11,12,17,31,73,111,164,264,483,640,752,770,557,424
D41          ,2,0,0,0,1,0,2,3,6,10,16,31,72,105,187,210,240,238,215,192
D42          ,1,0,0,0,0,0,1,2,3,3,9,5,5,11,13,12,15,10,5,1
D42          ,2,0,0,0,0,1,1,2,8,6,8,10,9,17,18,14,12,11,6,7
D43          ,1,1,2,5,6,5,6,7,10,10,16,17,15,15,17,24,21,21,30,30
D43          ,2,2,5,5,9,2,9,5,10,8,10,7,11,11,13,15,24,36,31,39
D44          ,1,1,1,4,1,3,4,5,2,8,3,6,9,7,6,14,4,9,6,1
D44          ,2,0,2,3,1,3,1,4,6,4,8,14,18,12,11,11,10,8,8,12
D45          ,1,0,0,0,0,2,2,0,3,11,17,35,33,43,49,58,49,33,35,13
D45          ,2,0,0,0,0,1,2,1,3,4,6,7,11,13,18,22,30,34,25,38
D46          ,1,0,1,0,0,1,1,0,3,5,9,8,21,41,64,135,141,278,267,389
D46          ,2,0,1,0,0,2,0,1,1,1,5,11,13,16,39,71,102,137,177,359
D47          ,1,3,5,1,3,4,8,8,12,19,21,35,46,81,120,141,153,173,155,164
D47          ,2,2,1,1,1,4,4,13,13,28,27,52,49,59,93,120,140,135,172,208
D48          ,1,2,2,2,3,7,10,13,9,10,20,23,31,30,38,67,72,72,117,110
D48          ,2,5,2,4,6,18,25,27,30,38,49,53,49,35,47,39,22,19,37,29
