"DisMod II input and output, database England 2006",,,,,,,,,,,
"Males, Disease: Lung cancer (Rates * ), sex: Males",,,,,,,,,,,
"Written 04/06/2016, 14:33:01",,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
92,0.0053676985,0.0178637072,0.004744582,0.0053994836,0.0058867045,0.0178637072,0.8009149773,1.0231216897,0.004744582,5.0474899488,92.5
93,0.0053676985,0.0178474047,0.004724237,0.0054018972,0.0063308671,0.0178474047,0.7420529569,1.0524310821,0.004724237,4.456511426,93.5
94,0.0053676985,0.0179467019,0.004768546,0.005404178,0.0067502525,0.0179467019,0.7032173451,1.0715941634,0.004768546,4.0232559718,94.5
95,0.0053676985,0.0181438143,0.004768546,0.0054062701,0.0071346075,0.0181438143,0.6656746976,1.0859132539,0.004768546,3.6451223258,95.5
96,0.0053676985,0.0184209573,0.004768546,0.0054082917,0.0075057493,0.0184209573,0.6330286896,1.0942451148,0.004768546,3.328411718,96.5
97,0.0053676985,0.0187603463,0.004768546,0.0054102413,0.0078633802,0.0187603463,0.6044552591,1.0974010713,0.004768546,3.0613226896,97.5
98,0.0053676985,0.0191441967,0.004768546,0.0054121173,0.0082072928,0.0191441967,0.5793033152,1.0964733328,0.004768546,2.8346973509,98.5
99,0.0053676985,0.0195547241,0.004768546,0.0054139192,0.0085373941,0.0195547241,0.5570498103,1.0932084415,0.004768546,2.6413383843,99.5
100,0.0053676985,0.0199741437,0.004768546,0.0054156471,0.0088537274,0.0199741437,0.5372678667,1.0909966263,0.004768546,2.4755255879,102.2463250783
,,,,,,,,,,,
All ages,NA,NA,0.0006308739,0.0007222221,0.0007763422,0.0396051677,0.8012230798,1.1262754627,0.0006255013,46.822952115,72.0588154029
