year,site,agegroup,sex,cases
2013,C34,15-19,Women,3
2013,C34,20-24,Women,7
2013,C34,25-29,Women,9
2013,C34,30-34,Women,23
2013,C34,35-39,Women,38
2013,C34,40-44,Women,91
2013,C34,45-49,Women,271
2013,C34,50-54,Women,602
2013,C34,55-59,Women,1061
2013,C34,60-64,Women,1824
2013,C34,65-69,Women,2677
2013,C34,70-74,Women,2684
2013,C34,75-79,Women,2695
2013,C34,80-84,Women,2428
2013,C34,85+,Women,2400
