"DisMod II input and output, database England 2006",,,,,,,,,,,
"Females, Disease: Lung cancer (Rates * ), sex: Females",,,,,,,,,,,
"Written 04/06/2016, 14:37:34",,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
78,0.0026850747,0.0422423532,0.0025269827,0.0026924112,0.0027248792,0.0422423532,0.9260251214,0.9640457609,0.0025269827,25.5920634035,78.5
79,0.002751583,0.0397262095,0.0026197871,0.0027590314,0.002699645,0.0397262095,0.9694784188,0.938439661,0.0026197871,24.0205876019,79.5
80,0.0027443501,0.0372337579,0.0026312921,0.0027516716,0.0026607298,0.0372337579,0.9882804293,0.924916386,0.0026312921,21.9316118167,80.5
81,0.0027443501,0.0347899915,0.0026312921,0.0027532271,0.0026241999,0.0347893046,1,0.9169362448,0.0026271266,19.7825096203,81.5
82,0.0027443501,0.0324199035,0.0026312921,0.0027587327,0.00260806,0.0324172869,1,0.9117287472,0.0026131962,17.5051871598,82.5
83,0.0027443501,0.0301484867,0.0026312921,0.0027586535,0.0026077975,0.0301462538,1,0.905668629,0.0026134017,15.3659921996,83.5
84,0.0027443501,0.0280007344,0.0026312921,0.0027574225,0.0026108303,0.0279991403,1,0.8995436654,0.0026165234,13.5246997954,84.5
85,0.0019757778,0.0260016397,0.0023696408,0.0019880051,0.002374906,0.0259985242,0.9999999999,0.8946895505,0.0023401193,12.0929644251,85.5
86,0.0019757778,0.0241761956,0.0023077198,0.002043485,0.0020775842,0.0241564312,1,0.8930168726,0.0020710514,11.1229847464,86.5
87,0.0019757778,0.0225493952,0.0022443742,0.0020501989,0.0019944724,0.0225286212,1,0.896974396,0.0019952992,10.6534440148,87.5
88,0.0019757778,0.0211462316,0.0021784274,0.0020427448,0.0019668225,0.021132173,0.9999999999,0.9106457329,0.0019694687,10.7566514451,88.5
89,0.0019757778,0.0199916978,0.002021314,0.0020046714,0.0019444549,0.0199511193,1,0.9436448373,0.0019461011,11.5997635344,89.5
90,0.0019757778,0.019110787,0.001855188,0.0019796388,0.0019503554,0.019110787,0.9478442282,1.0191212009,0.001855188,8.5031006176,90.5
91,0.0019757778,0.0185272515,0.0016995192,0.0019798682,0.0020660325,0.0185272515,0.8160217174,1.1234047525,0.0016995192,6.9140045339,91.5
92,0.0019757778,0.0182363036,0.0016471576,0.0019802907,0.0022789385,0.0182363036,0.7171934851,1.2032941377,0.0016471576,5.7673650404,92.5
93,0.0019757778,0.0182046162,0.0016372462,0.0019807571,0.002513841,0.0182046162,0.6470681621,1.2573209851,0.0016372462,4.9526904271,93.5
94,0.0019757778,0.0183976212,0.0016588323,0.0019811929,0.002733265,0.0183976212,0.6038033801,1.2947971972,0.0016588323,4.396488917,94.5
95,0.0019757778,0.0187807506,0.0016588323,0.0019815892,0.0029326928,0.0187807506,0.5631513271,1.3240335921,0.0016588323,3.9234448998,95.5
96,0.0019757778,0.0193194363,0.0016588323,0.0019819669,0.003122734,0.0193194363,0.5291821767,1.3435596705,0.0016588323,3.540997073,96.5
97,0.0019757778,0.0199791102,0.0016588323,0.0019823257,0.0033031792,0.0199791102,0.5005046486,1.3549324627,0.0016588323,3.2283272128,97.5
98,0.0019757778,0.0207252043,0.0016588323,0.0019826653,0.0034738854,0.0207252043,0.4760891234,1.3598980655,0.0016588323,2.9702421617,98.5
99,0.0019757778,0.0215231505,0.0016588323,0.0019829855,0.0036348025,0.0215231505,0.4551538144,1.3606044711,0.0016588323,2.7554192417,99.5
100,0.0019757778,0.0223383807,0.0016588323,0.0019832865,0.0037859958,0.0223383807,0.4370909716,1.360097478,0.0016588323,2.5752677951,103.1026756882
,,,,,,,,,,,
All ages,NA,NA,0.0004437258,0.0005058526,0.0005131086,0.0537007145,0.8545010452,1.0555037657,0.000440669,81.1180664166,72.504225724
