"agegroup","sex","cholval1.usual","Pe","se"
"20-24","2","4.8",0.0210643819703887,0.012113496348794
"20-24","2","4.9",0.0723015317225264,0.0273235763575966
"20-24","2","5",0.0241516965588825,0.0137185421673436
"20-24","2","5.1",0.0247548965710912,0.0142283075481179
"20-24","2","5.2",0.0385939823710438,0.0173217254132222
"20-24","2","5.3",0.0411019311711,0.0187857687468484
"20-24","2","5.4",0.0225094927562175,0.0130868051542603
"20-24","2","5.5",0.0172933278192444,0.0102029289344533
"20-24","2","5.6",0.0131749872724693,0.00938947964506705
"20-24","2","5.7",0.00600843926330117,0.00600039747454396
"20-24","2","5.8",0.012471257362416,0.00883087463938971
"20-24","2","6.1",0.0173702694030521,0.0171482595142489
"20-24","2","6.2",0.0100466117739446,0.00999245832972066
"20-24","2","6.8",0.00944936494734595,0.00940410327122602
"20-24","2","7.2",0.0145160728591392,0.0146097552600067
"20-24","2","8",0.0163196801131435,0.0163664068351429
"25-29","1","2.5",0.00712708469110207,0.00714892230273676
"25-29","1","2.6",0.00501478638794036,0.00504070115654791
"25-29","1","3",0.00526760869854625,0.00529350488175003
"25-29","1","3.1",0.00553066737960209,0.00555640882892527
"25-29","1","3.2",0.0155698453198258,0.0154859463786273
"25-29","1","3.3",0.00466565771594099,0.00469138856283756
"25-29","1","3.4",0.00618798472283251,0.00621273558660353
"25-29","1","3.5",0.0127468621511612,0.0127143026610958
"25-29","1","3.6",0.0187673464332559,0.0108410064923828
"25-29","1","3.7",0.0796479336283533,0.0262070855601886
"25-29","1","3.8",0.00971469554824176,0.00696417580777832
"25-29","1","3.9",0.0411531625684162,0.0175011973199145
"25-29","1","4",0.0480551585909053,0.0177205472026133
"25-29","1","4.1",0.0199241122021642,0.010143344646732
"25-29","1","4.2",0.0514971577029635,0.0176872399893255
"25-29","1","4.3",0.0572687808530714,0.0203983788134962
"25-29","1","4.4",0.0449100770892644,0.0216945628764082
"25-29","1","4.5",0.044658527618885,0.0166340963899525
"25-29","1","4.6",0.0761353825800394,0.0227124122391228
"25-29","1","4.7",0.0356241321539032,0.0170306311352408
"25-29","1","4.8",0.0479197525069227,0.0149863946485165
"25-29","1","4.9",0.0650212112164197,0.0189458796417907
"25-29","1","5",0.0174728894033946,0.0110708143742902
"25-29","1","5.1",0.0396822782834747,0.0197673810943311
"25-29","1","5.2",0.0193908399456978,0.0116504817404096
"25-29","1","5.3",0.0134827409659092,0.00960705249436942
"25-29","1","5.4",0.0159810253387461,0.01147485752403
"25-29","1","5.5",0.00899344692674998,0.00900425382478811
"25-29","1","5.6",0.0315557036110171,0.0155429260532022
"25-29","1","5.7",0.0101758136736831,0.00915635909127627
"25-29","1","5.8",0.00776462586852009,0.00555937931513099
"25-29","1","5.9",0.0195158120206916,0.0116927011533471
"25-29","1","6",0.0194666366274751,0.0114731374255434
"25-29","1","6.1",0.00737109295222106,0.00739188488193826
"25-29","1","6.2",0.0154761741339871,0.0151150274629904
"25-29","1","6.3",0.00373920937032813,0.0037632745126562
"25-29","1","6.4",0.00932867580013749,0.00682297931334945
"25-29","1","6.6",0.00455555333277981,0.00458117576821203
"25-29","1","6.7",0.00602421921719569,0.00602715400528137
"25-29","1","6.8",0.0143649873847785,0.0140962302326344
