"agegroup","sex","salt","Pe","se"
"15-19","2","5.7",0.00316455696202532,0.00223542197412348
"15-19","2","5.8",0.00474683544303797,0.00273765652500126
"15-19","2","5.9",0.00316455696202532,0.00223187000760175
"15-19","2","6",0.00158227848101266,0.00158328482020169
"15-19","2","6.1",0.00158227848101266,0.00158328482020169
"15-19","2","6.2",0.00158227848101266,0.00158328482020169
"15-19","2","6.3",0.00158227848101266,0.00158077733602811
"15-19","2","6.4",0.00158227848101266,0.00158077733602811
"15-19","2","6.5",0.00316455696202532,0.00223542197412348
"15-19","2","6.7",0.00474683544303797,0.00273765652500126
"15-19","2","6.9",0.00158227848101266,0.00158077733602811
"15-19","2","7",0.00158227848101266,0.00158077733602811
"15-19","2","7.1",0.00474683544303797,0.00272894855836385
"15-19","2","7.2",0.00474683544303797,0.00272021271585705
"15-19","2","7.3",0.00474683544303797,0.00272021271585706
"15-19","2","7.4",0.00632911392405063,0.00313578312546395
"15-19","2","7.5",0.00158227848101266,0.00158328482020169
"15-19","2","7.6",0.00158227848101266,0.0015782658680714
"15-19","2","7.8",0.00158227848101266,0.00157826586807141
"15-19","2","7.9",0.00158227848101266,0.00158077733602811
"15-19","2","8",0.00791139240506329,0.00351699469657332
"15-19","2","8.1",0.00158227848101266,0.0015782658680714
"15-19","2","8.2",0.00316455696202532,0.00223187000760174
"15-19","2","8.3",0.00158227848101266,0.00158328482020169
"15-19","2","8.4",0.00158227848101266,0.00158328482020169
"15-19","2","8.5",0.00474683544303797,0.00272894855836385
"15-19","2","8.7",0.00316455696202532,0.00223187000760174
"15-19","2","8.8",0.00158227848101266,0.00158077733602811
"15-19","2","9.1",0.00316455696202532,0.00223542197412348
"15-19","2","9.4",0.00158227848101266,0.00158077733602811
"15-19","2","9.5",0.00158227848101266,0.00158328482020169
"15-19","2","9.6",0.00158227848101266,0.0015782658680714
"15-19","2","9.7",0.00158227848101266,0.00158328482020169
"15-19","2","9.8",0.00158227848101266,0.00158328482020169
"15-19","2","10",0.00158227848101266,0.00158328482020169
"15-19","2","10.4",0.00474683544303797,0.00272458413833255
"15-19","2","10.5",0.00158227848101266,0.00158077733602811
"15-19","2","10.6",0.00316455696202532,0.00222474906173895
"15-19","2","10.8",0.00158227848101266,0.00158328482020169
"15-19","2","11",0.00158227848101266,0.00158328482020169
"15-19","2","11.2",0.00474683544303797,0.00272894855836386
"15-19","2","11.6",0.00158227848101266,0.00158328482020169
"15-19","2","11.7",0.00158227848101266,0.00158077733602811
"15-19","2","12",0.00316455696202532,0.00222831237919424
"15-19","2","12.2",0.00158227848101266,0.0015782658680714
"15-19","2","12.4",0.00158227848101266,0.00158328482020169
"15-19","2","12.5",0.00158227848101266,0.00158077733602811
"15-19","2","12.6",0.00158227848101266,0.00157575039728321
"15-19","2","12.8",0.00158227848101266,0.00158328482020169
"15-19","2","13.8",0.00316455696202532,0.00222118002785601
"15-19","2","14.1",0.00158227848101266,0.00158328482020169
"15-19","2","14.2",0.00158227848101266,0.0015782658680714
"15-19","2","14.3",0.00158227848101266,0.00158077733602812
"15-19","2","14.5",0.00158227848101266,0.0015782658680714
"15-19","2","14.7",0.00158227848101266,0.00158077733602811
"15-19","2","15.1",0.00158227848101266,0.00158328482020169
"15-19","2","15.3",0.00158227848101266,0.00158328482020169
"15-19","2","16.5",0.00158227848101266,0.00158077733602812
"15-19","2","16.6",0.00158227848101266,0.00157323090446293
"15-19","2","16.7",0.00158227848101266,0.00158328482020169
"15-19","2","17.7",0.00158227848101266,0.00157575039728321
"15-19","2","18.1",0.00158227848101266,0.00158328482020169
"15-19","2","22.4",0.00158227848101266,0.00158328482020169
"20-24","1","5.3",0.00158730158730159,0.00158840656591596
"20-24","1","5.5",0.00317460317460317,0.00223562363106849
"20-24","1","5.6",0.00476190476190476,0.00274245299657748
"20-24","1","5.8",0.00158730158730159,0.00158335597581391
"20-24","1","5.9",0.00158730158730159,0.0015833559758139
"20-24","1","6.1",0.00634920634920635,0.00315149947637413
"20-24","1","6.2",0.0111111111111111,0.00414882010944474
"20-24","1","6.3",0.00476190476190476,0.00273367712448613
"20-24","1","6.4",0.00317460317460317,0.00224277764497297
"20-24","1","6.5",0.00634920634920635,0.00317176656290796
"20-24","1","6.6",0.00793650793650794,0.00351779590165981
"20-24","1","6.7",0.00476190476190476,0.00273806857651297
