"agegroup","sex","omsysval.usual","Pe","se"
"10-14","2","100",0.0201989725603187,0.00695187093210475
"10-14","2","100.5",0.00978793727349694,0.00443690930278032
"10-14","2","101",0.0184219972705292,0.00643540916284185
"10-14","2","101.5",0.0297755371938489,0.00923544222842249
"10-14","2","102",0.0115809919183669,0.00585231543290309
"10-14","2","102.5",0.0119352536876529,0.00505446343402392
"10-14","2","103",0.0259757222977711,0.00858812066446869
"10-14","2","103.5",0.0063819742762301,0.0037581647974784
"10-14","2","104",0.0181590917686992,0.00617185721282356
"10-14","2","104.5",0.0139697157248908,0.00578366947276165
"10-14","2","105",0.0110970356463986,0.0050253613918679
"10-14","2","105.5",0.0133161414746585,0.00571224973754574
"10-14","2","106",0.00802902820938449,0.00406123911382386
"10-14","2","106.5",0.0170530050268828,0.00614153837777122
"10-14","2","107",0.00368484598349244,0.00262306056973612
"10-14","2","107.5",0.00605451381950456,0.00352311477255778
"10-14","2","108",0.00833185772583283,0.00517646268339197
"10-14","2","108.5",0.00672717891979631,0.00394130398143462
"10-14","2","109",0.00194052727762329,0.00194026208844897
"10-14","2","109.5",0.00606780747906384,0.00469869550273659
"10-14","2","110",0.0122059515756757,0.00548053170868236
"10-14","2","110.5",0.00709510607112182,0.00416383692117917
"10-14","2","111",0.0167020705896118,0.00640263636995682
"10-14","2","111.5",0.0136232912561602,0.00561305875132519
"10-14","2","112",0.0114301406624517,0.00484912000670099
"10-14","2","112.5",0.00999621964269728,0.00471831873537338
"10-14","2","113",0.00342218468294191,0.00249205724136064
"10-14","2","113.5",0.00484191547018769,0.00350580414234646
"10-14","2","114",0.00899001867207319,0.00459913304174539
"10-14","2","114.5",0.0204322941528321,0.0109819980594807
"10-14","2","115",0.00187966266970913,0.00187496914348093
"10-14","2","115.5",0.00164651545853528,0.00164383957441202
"10-14","2","116",0.00201890282232904,0.0020145907144315
"10-14","2","116.5",0.0117722711106636,0.00632457184478707
"10-14","2","117",0.00516119982265528,0.00370589861030739
"10-14","2","117.5",0.0021847873242513,0.00218395496050197
"10-14","2","118",0.00510344428268896,0.00298270640843102
"10-14","2","119.5",0.00393080309065652,0.00278138421530309
"10-14","2","120.5",0.00346690847431231,0.00346113809878295
"10-14","2","121.5",0.0015541095955558,0.00155449771504356
"10-14","2","122",0.0028959306085593,0.002892766372174
"10-14","2","124",0.00253088412915674,0.0025134638518675
"10-14","2","131",0.00222872320699156,0.00221285720102032
"15-19","1","81",0.00331177599128711,0.00330662427736343
"15-19","1","88.5",0.00494893707416406,0.00351592429639419
"15-19","1","89",0.00169088135050145,0.00168862334821553
"15-19","1","89.5",0.0025727453619788,0.00257431738144172
"15-19","1","91.5",0.00172442634903493,0.00172868820055706
"15-19","1","92.5",0.00582338136705984,0.00419978631928905
"15-19","1","93",0.00408439942320528,0.00289534460429981
"15-19","1","93.5",0.00190740246200298,0.00190673572853562
"15-19","1","94",0.00234966966494795,0.00234653099060968
"15-19","1","94.5",0.00342125107994591,0.00243501969302838
"15-19","1","95",0.00852103148172987,0.00508207420006121
"15-19","1","95.5",0.00859454167359295,0.00515309851542722
"15-19","1","96",0.0105126786499726,0.00484242790339337
"15-19","1","96.5",0.0156028992914386,0.00592430073909974
"15-19","1","97",0.00185713539898572,0.00185657961943134
"15-19","1","97.5",0.0194320613332349,0.00827938359445077
"15-19","1","98",0.00433458566654932,0.00316678969171861
"15-19","1","98.5",0.0118179342492941,0.00537052904686194
"15-19","1","99",0.00647306424314927,0.00326487957851375
"15-19","1","99.5",0.0132235261410643,0.00605738241651453
"15-19","1","100",0.00462139678686611,0.00325719451366405
"15-19","1","100.5",0.0177915926851125,0.00594132053551481
"15-19","1","101",0.0132414371847977,0.00553938343022728
"15-19","1","101.5",0.0136602349093235,0.00577904271589278
"15-19","1","102",0.00424247929965349,0.00302076781412608
"15-19","1","102.5",0.0152174607021532,0.0058825383279058
"15-19","1","103",0.0143299124095254,0.00593561566260525
"15-19","1","103.5",0.0197646699300342,0.00795720352993218
"15-19","1","104",0.009942798762567,0.00452472276646948
"15-19","1","104.5",0.00486923829007045,0.00282489715627218
"15-19","1","105",0.0121328223966469,0.00505887560672124
"15-19","1","105.5",0.0129701057893628,0.00626872452015574
"15-19","1","106",0.0165995796126472,0.0073176397844219
"15-19","1","106.5",0.0118474835138758,0.00605958022455531
"15-19","1","107",0.0122639129069715,0.00505558331777639
"15-19","1","107.5",0.0126778092184375,0.00530388818165
"15-19","1","108",0.0265116312078736,0.00821550250577087
"15-19","1","108.5",0.010428849668888,0.00434719668999695
"15-19","1","109",0.0119942889286569,0.00731283632249844
"15-19","1","109.5",0.00505688803405748,0.00383926111407156
"15-19","1","110",0.00947410995894059,0.00471438252648608
"15-19","1","110.5",0.00718025222836372,0.00367042397828946
"15-19","1","111",0.0165838541977826,0.00560308478393629
"15-19","1","111.5",0.0178391404529764,0.00686209383536954
"15-19","1","112",0.0179011142905331,0.00602826946177032
"15-19","1","112.5",0.0127063583419489,0.00551482968772614
"15-19","1","113",0.0151535700777006,0.00578905047415327
"15-19","1","113.5",0.00835520830762716,0.00425181732998932
"15-19","1","114",0.0170796008722138,0.00629218452664427
"15-19","1","114.5",0.0113090397388459,0.00537495659186097
