"agegroup","sex","porftvg","Pe","se"
"25-29","1","7",0.0347968570101811,0.0110715994477645
"25-29","1","8",0.0408224423326549,0.0127426378160141
"25-29","2","0",0.110526205072784,0.0165487362031552
"25-29","2","1",0.143987628503501,0.0180636973269551
"25-29","2","2",0.208564206485545,0.0201198082984363
"25-29","2","3",0.186531316146455,0.0186767803730863
"25-29","2","4",0.135428303445453,0.0170181178686027
"25-29","2","5",0.106040859488502,0.0163707790361924
"25-29","2","6",0.0586539767100024,0.0113756059836364
"25-29","2","7",0.0205934979571841,0.00737322391669694
"25-29","2","8",0.0296740061905732,0.00847982117173662
"30-34","1","0",0.0870751438332086,0.0137493865955607
"30-34","1","1",0.188310910368758,0.0214465162556202
"30-34","1","2",0.177677474073532,0.0205552103991015
"30-34","1","3",0.165683769022762,0.019461529217174
"30-34","1","4",0.136854245244747,0.0204742304264604
"30-34","1","5",0.0916680241115624,0.0168170418145201
"30-34","1","6",0.057094838373506,0.0108702572623505
"30-34","1","7",0.0323825703842064,0.00883747339037647
"30-34","1","8",0.0632530245877182,0.0120962489449884
"30-34","2","0",0.0767431322435913,0.0117119030711101
"30-34","2","1",0.148344139407458,0.0157934733657341
"30-34","2","2",0.161264582925979,0.0163591766247545
"30-34","2","3",0.180048927206782,0.0177497677800938
"30-34","2","4",0.120798731131946,0.0146899865241274
"30-34","2","5",0.128453203900844,0.0150264013886002
"30-34","2","6",0.0881732701085298,0.0137219385156274
"30-34","2","7",0.0532204446519992,0.010862713077423
"30-34","2","8",0.0429535684228702,0.00907858584011643
"35-39","1","0",0.0842838340258412,0.0128424264765139
"35-39","1","1",0.156125316311775,0.0179676974450102
"35-39","1","2",0.166815131925206,0.0177357617739253
"35-39","1","3",0.166822414464651,0.0173138994396472
"35-39","1","4",0.137356857916289,0.0151742618801929
"35-39","1","5",0.0768121095290617,0.011891712912508
"35-39","1","6",0.0616201147298083,0.011229947059996
"35-39","1","7",0.0627416852451582,0.0123700817040416
"35-39","1","8",0.0850061423238561,0.0137329799642586
"35-39","2","0",0.0705488235471071,0.00999944269346413
"35-39","2","1",0.132527478053726,0.0144506446023165
"35-39","2","2",0.155129017108556,0.0142226219453498
"35-39","2","3",0.167442445085382,0.0154866052728466
"35-39","2","4",0.171267687754909,0.0162118880624035
"35-39","2","5",0.112867065543591,0.0118931192678877
"35-39","2","6",0.0641758339892371,0.00936937972441407
"35-39","2","7",0.0375585240848827,0.00752377735067147
"35-39","2","8",0.088483124832609,0.0122582311527856
"40-44","1","0",0.104626880656194,0.01379643386398
"40-44","1","1",0.171355498891105,0.015524345863581
"40-44","1","2",0.164013101485206,0.0164707234314237
"40-44","1","3",0.135020138260819,0.0137150478972814
"40-44","1","4",0.127283816724494,0.0144041068966827
"40-44","1","5",0.131417494326638,0.0143685303282092
"40-44","1","6",0.0592852013305322,0.0105046432878509
"40-44","1","7",0.0495305091079467,0.0098953501555521
"40-44","1","8",0.0559710078530838,0.0101660145171825
"40-44","2","0",0.0757946317226461,0.010181694168115
"40-44","2","1",0.140759741667409,0.0127997516647888
"40-44","2","2",0.145820381357192,0.0134976966308972
"40-44","2","3",0.164927589100462,0.0134257178587647
"40-44","2","4",0.149391124688037,0.0128760211477239
"40-44","2","5",0.11228632763158,0.011992336619513
"40-44","2","6",0.0802085351924231,0.00964545869349905
"40-44","2","7",0.0544572241063281,0.00831082928877567
"40-44","2","8",0.0763544445339223,0.0104754676676766
"45-49","1","0",0.128327467873201,0.0164088126312775
"45-49","1","1",0.132967998722646,0.0147698476302424
"45-49","1","2",0.176795063901526,0.0154460819317298
"45-49","1","3",0.154569356304767,0.014544784982689
"45-49","1","4",0.130784743461016,0.0143760656056975
"45-49","1","5",0.103609374841845,0.0131406778030955
"45-49","1","6",0.0673210449400956,0.0107724509128357
"45-49","1","7",0.0400478790698743,0.0085864707531357
"45-49","1","8",0.0655770708850296,0.0108519810223604
"45-49","2","0",0.0871012480478848,0.0104024808915381
"45-49","2","1",0.138985688716306,0.0142650748048961
"45-49","2","2",0.167135180243313,0.0149473328631826
"45-49","2","3",0.150184558812154,0.0133709628145904
"45-49","2","4",0.116093981061911,0.0116746887411858
"45-49","2","5",0.138264855817417,0.0128995307944412
"45-49","2","6",0.0651127839116607,0.00942373489490799
"45-49","2","7",0.0543780711951307,0.00850527249680054
"45-49","2","8",0.0827436321942216,0.00975550795673342
"50-54","1","0",0.0931698760118307,0.0126788697512937
"50-54","1","1",0.167012748310557,0.0170464068086517
"50-54","1","2",0.154448758647714,0.0169233271767247
"50-54","1","3",0.182705476264041,0.0169829918027878
"50-54","1","4",0.124655543385336,0.0153577116696807
"50-54","1","5",0.10985986461146,0.0138344651768092
"50-54","1","6",0.0655835072872527,0.0108922885490945
"50-54","1","7",0.0463522592010552,0.00937919111703825
"50-54","1","8",0.0562119662807535,0.00993377360585892
"50-54","2","0",0.0661534912741732,0.00940786732110183
"50-54","2","1",0.150684852379377,0.0142946458271642
"50-54","2","2",0.150632519901156,0.014401671992403
"50-54","2","3",0.16863876047083,0.0153323882800773
"50-54","2","4",0.114789449192172,0.0122217575168997
"50-54","2","5",0.100263773293939,0.0118965130752985
"50-54","2","6",0.096919153971091,0.0113666412809607
"50-54","2","7",0.064011363933133,0.0100347506958356
"50-54","2","8",0.0879066355841297,0.010601212560869
"55-59","1","0",0.0789796809370781,0.0114868630242334
"55-59","1","1",0.159381012427706,0.0170087904186589
"55-59","1","2",0.13297860636093,0.015679555789041
"55-59","1","3",0.169441057275443,0.0180237585629372
"55-59","1","4",0.143354346840003,0.0162661713386321
"55-59","1","5",0.117902542396151,0.0142889413278184
"55-59","1","6",0.0757523444205237,0.0130678113779986
"55-59","1","7",0.0294746127330784,0.00853216960784254
"55-59","1","8",0.0927357966090873,0.0138565855318627
"55-59","2","0",0.0529161211601055,0.00864112781850741
"55-59","2","1",0.131691061288853,0.014055957158792
"55-59","2","2",0.142578037596442,0.0153407668370732
"55-59","2","3",0.166122518426611,0.0156656347398593
"55-59","2","4",0.149030514415394,0.0140564535889858
"55-59","2","5",0.140564211133387,0.0150794682541813
"55-59","2","6",0.070864967779064,0.0102604160965872
"55-59","2","7",0.0504501141996942,0.00891220033030704
"55-59","2","8",0.0957824540004494,0.0125787890217941
"60-64","1","0",0.0845526100393984,0.0123528980145852
"60-64","1","1",0.141362207102073,0.0147779417021158
"60-64","1","2",0.171098487465731,0.0147076829142563
"60-64","1","3",0.129074267266892,0.0126794251749185
"60-64","1","4",0.145784615982745,0.0152098053053144
"60-64","1","5",0.117610631211053,0.0134710059503609
"60-64","1","6",0.0802236086537867,0.0110497715462596
"60-64","1","7",0.0525570679367713,0.00837192786152838
"60-64","1","8",0.0777365043415483,0.0113486218506644
"60-64","2","0",0.0632851539288163,0.00967432729114161
"60-64","2","1",0.117051086886523,0.0128648546857538
"60-64","2","2",0.13610224589728,0.0121155686134849
"60-64","2","3",0.147631838394309,0.0136619484314097
"60-64","2","4",0.160766237580915,0.0133343214553886
"60-64","2","5",0.122598535447877,0.0126814476447538
"60-64","2","6",0.0785662482215256,0.0103868225451444
"60-64","2","7",0.0668176561513401,0.0102016360066836
"60-64","2","8",0.107180997491415,0.013253841364284
"65-69","1","0",0.0569583135526967,0.0103238788108807
"65-69","1","1",0.139344630339436,0.0153923188193975
"65-69","1","2",0.158247930031554,0.0169897820140627
"65-69","1","3",0.183810364756635,0.0168662238094333
"65-69","1","4",0.145820124079361,0.0156184728033139
