"agegroup","sex","porftvg","Pe","se"
"35-39","1","5",0.0725806451612903,0.0116378690710022
"35-39","1","6",0.0443548387096774,0.00901010610668036
"35-39","1","7",0.0383064516129032,0.00861731889019988
"35-39","1","8",0.0443548387096774,0.00992708535999025
"35-39","2","0",0.0913173652694611,0.0106612590168732
"35-39","2","1",0.167664670658683,0.0143410813088798
"35-39","2","2",0.205089820359281,0.0150123948920412
"35-39","2","3",0.164670658682635,0.0139679825395211
"35-39","2","4",0.130239520958084,0.0133607750679489
"35-39","2","5",0.0823353293413174,0.0103997765871765
"35-39","2","6",0.0643712574850299,0.00966077062532531
"35-39","2","7",0.0434131736526946,0.00801496385749275
"35-39","2","8",0.0508982035928144,0.00831655999707655
"40-44","1","0",0.107309486780715,0.0120291646778767
"40-44","1","1",0.216174183514774,0.0161062312476078
"40-44","1","2",0.203732503888025,0.0157087607183545
"40-44","1","3",0.164852255054432,0.0143674686473985
"40-44","1","4",0.105754276827372,0.0127661634666461
"40-44","1","5",0.0590979782270607,0.00965706374170914
"40-44","1","6",0.0482115085536547,0.00841081864919967
"40-44","1","7",0.0295489891135303,0.00688938439276086
"40-44","1","8",0.0653188180404355,0.00951371939219019
"40-44","2","0",0.106546854942234,0.0113831488533374
"40-44","2","1",0.152759948652118,0.0127152422985626
"40-44","2","2",0.17201540436457,0.0129796436281967
"40-44","2","3",0.160462130937099,0.0132914148671276
"40-44","2","4",0.146341463414634,0.0132113374909082
"40-44","2","5",0.0949935815147625,0.0104584731022108
"40-44","2","6",0.0526315789473684,0.00817047069377159
"40-44","2","7",0.0436456996148909,0.00718117499617923
"40-44","2","8",0.0706033376123235,0.00907280359532979
"45-49","1","0",0.127536231884058,0.0130348954558369
"45-49","1","1",0.181159420289855,0.014480519757074
"45-49","1","2",0.210144927536232,0.0151420613319061
"45-49","1","3",0.140579710144928,0.013139401872654
"45-49","1","4",0.117391304347826,0.0125742098604171
"45-49","1","5",0.0869565217391304,0.0104288331100089
"45-49","1","6",0.0623188405797101,0.00906543498558057
"45-49","1","7",0.027536231884058,0.00611971257080917
"45-49","1","8",0.0463768115942029,0.00817311114890766
"45-49","2","0",0.0848748639825898,0.00949321961379427
"45-49","2","1",0.165397170837867,0.0122704523542671
"45-49","2","2",0.187159956474429,0.0129990326367599
"45-49","2","3",0.163220892274211,0.0125315077651585
"45-49","2","4",0.128400435255713,0.0108913764244684
"45-49","2","5",0.0892274211099021,0.00954806347902581
"45-49","2","6",0.0718171926006529,0.00847044750519808
"45-49","2","7",0.0380848748639826,0.00629306381758488
"45-49","2","8",0.0718171926006529,0.00936306576871098
"50-54","1","0",0.0904761904761905,0.0117268661614217
"50-54","1","1",0.165079365079365,0.0149514904307014
"50-54","1","2",0.225396825396825,0.0163936923224597
"50-54","1","3",0.16984126984127,0.0150075797396986
"50-54","1","4",0.117460317460317,0.0133797347755369
"50-54","1","5",0.0650793650793651,0.00952382507611902
"50-54","1","6",0.0666666666666667,0.00974222693761784
"50-54","1","7",0.0349206349206349,0.00717925689504281
"50-54","1","8",0.0650793650793651,0.010121134382384
"50-54","2","0",0.107231920199501,0.0110248233214151
"50-54","2","1",0.135910224438903,0.0122055751904436
"50-54","2","2",0.168329177057357,0.0129869003135361
"50-54","2","3",0.174563591022444,0.0136046899794558
"50-54","2","4",0.13715710723192,0.0122746983842024
"50-54","2","5",0.110972568578554,0.0108021522963129
"50-54","2","6",0.0561097256857855,0.00799320074259197
"50-54","2","7",0.043640897755611,0.00716626383489161
"50-54","2","8",0.0660847880299252,0.00903784378822872
"55-59","1","0",0.086115992970123,0.0118042527503983
"55-59","1","1",0.196836555360281,0.0168967135775876
"55-59","1","2",0.161687170474517,0.0153327859638427
"55-59","1","3",0.182776801405975,0.0161371789660952
"55-59","1","4",0.117750439367311,0.0138685202521828
"55-59","1","5",0.110720562390158,0.0129974151211412
"55-59","1","6",0.0474516695957821,0.00887125261975486
"55-59","1","7",0.0298769771528998,0.00710794044565394
"55-59","1","8",0.0667838312829525,0.0104572255373026
"55-59","2","0",0.0776978417266187,0.010279142354636
"55-59","2","1",0.132374100719424,0.0128645314934703
"55-59","2","2",0.164028776978417,0.0134874960371949
"55-59","2","3",0.153956834532374,0.0141513996631711
"55-59","2","4",0.152517985611511,0.0135729581948129
"55-59","2","5",0.106474820143885,0.0116865131889253
"55-59","2","6",0.0892086330935252,0.0108228912200268
"55-59","2","7",0.037410071942446,0.00703951210673388
"55-59","2","8",0.0863309352517986,0.0101379891809678
"60-64","1","0",0.104524180967239,0.0118476662536808
"60-64","1","1",0.16380655226209,0.0141411330135133
"60-64","1","2",0.160686427457098,0.0144805796562088
"60-64","1","3",0.148205928237129,0.0141301708529151
"60-64","1","4",0.137285491419657,0.0131450141473937
"60-64","1","5",0.0982839313572543,0.0118540969380929
"60-64","1","6",0.0670826833073323,0.010030044914504
"60-64","1","7",0.0514820592823713,0.00886101506153467
"60-64","1","8",0.0686427457098284,0.00994099824263295
"60-64","2","0",0.0840764331210191,0.00989951561343775
"60-64","2","1",0.112101910828025,0.0112076526172474
"60-64","2","2",0.145222929936306,0.0128246332212042
"60-64","2","3",0.16687898089172,0.0142764748264038
"60-64","2","4",0.137579617834395,0.0127695216225281
"60-64","2","5",0.113375796178344,0.0111954344254454
"60-64","2","6",0.0828025477707006,0.00974547048045109
"60-64","2","7",0.0662420382165605,0.0086300967068557
"60-64","2","8",0.0917197452229299,0.0103397924174944
"65-69","1","0",0.0817051509769094,0.011466833856399
"65-69","1","1",0.158081705150977,0.0155354940681462
"65-69","1","2",0.159857904085258,0.014851015845788
"65-69","1","3",0.149200710479574,0.015020756267349
"65-69","1","4",0.161634103019538,0.0150996723147151
"65-69","1","5",0.117229129662522,0.0134387788856638
"65-69","1","6",0.0621669626998224,0.00995755892557283
"65-69","1","7",0.0373001776198934,0.00800151163916065
"65-69","1","8",0.0728241563055062,0.0114333837322544
"65-69","2","0",0.0792393026941363,0.0109746758867069
"65-69","2","1",0.0935023771790808,0.0115982482792719
"65-69","2","2",0.136291600633914,0.0138164271048385
"65-69","2","3",0.166402535657686,0.0149208374291671
"65-69","2","4",0.166402535657686,0.0148646342118178
"65-69","2","5",0.137876386687797,0.0137719175594366
"65-69","2","6",0.0887480190174326,0.0112912651191842
"65-69","2","7",0.0412044374009509,0.00807540174159171
"65-69","2","8",0.0903328050713154,0.012046349031729
"70-74","1","0",0.065173116089613,0.0117035161003912
"70-74","1","1",0.146639511201629,0.0163388333317585
"70-74","1","2",0.154786150712831,0.0158495823287728
"70-74","1","3",0.162932790224033,0.0159634124101761
"70-74","1","4",0.130346232179226,0.0149874404999032
"70-74","1","5",0.132382892057026,0.0153832915275743
"70-74","1","6",0.0773930753564155,0.0116061248621783
"70-74","1","7",0.0325865580448065,0.00842319023985502
"70-74","1","8",0.0977596741344195,0.0134402114175169
"70-74","2","0",0.0723809523809524,0.0110614776875755
"70-74","2","1",0.123809523809524,0.0136056400207109
"70-74","2","2",0.148571428571429,0.0148701623169167
"70-74","2","3",0.167619047619048,0.0160983628813614
"70-74","2","4",0.173333333333333,0.0160971149597094
"70-74","2","5",0.12,0.0145890327629107
"70-74","2","6",0.08,0.0124077976024398
"70-74","2","7",0.0419047619047619,0.00925943240709107
"70-74","2","8",0.0723809523809524,0.0107724162366831
"75-79","1","0",0.0666666666666667,0.0113149647018952
"75-79","1","1",0.126881720430108,0.0157880806539593
"75-79","1","2",0.144086021505376,0.0164295513527484
"75-79","1","3",0.195698924731183,0.0184621108739399
"75-79","1","4",0.118279569892473,0.0147288878542762
"75-79","1","5",0.131182795698925,0.01525598876224
"75-79","1","6",0.0838709677419355,0.0129592240350092
"75-79","1","7",0.0580645161290323,0.0106241906680854
"75-79","1","8",0.0752688172043011,0.0119198096678648
"75-79","2","0",0.0654205607476636,0.011168279343428
"75-79","2","1",0.123364485981308,0.0140954078173764
"75-79","2","2",0.168224299065421,0.0162321379296191
"75-79","2","3",0.158878504672897,0.0156923114129084
"75-79","2","4",0.160747663551402,0.0161992739596672
"75-79","2","5",0.134579439252336,0.0146619455610655
"75-79","2","6",0.0710280373831776,0.0108856948762174
"75-79","2","7",0.0560747663551402,0.00967784107030509
"75-79","2","8",0.0616822429906542,0.0112084539553058
"80-84","1","0",0.0789473684210526,0.0129462086199834
"80-84","1","1",0.186602870813397,0.0185751471519671
"80-84","1","2",0.155502392344498,0.017432384979692
"80-84","1","3",0.208133971291866,0.0205111556574722
"80-84","1","4",0.117224880382775,0.0162715625540667
"80-84","1","5",0.0956937799043062,0.0142536840036569
"80-84","1","6",0.0598086124401914,0.0119865458800538
"80-84","1","7",0.0334928229665072,0.0087212865524786
"80-84","1","8",0.0645933014354067,0.0122877245644807
"80-84","2","0",0.062753036437247,0.0107896310508882
"80-84","2","1",0.145748987854251,0.0159716596704845
"80-84","2","2",0.147773279352227,0.0160921290956896
"80-84","2","3",0.220647773279352,0.0193646658440429
"80-84","2","4",0.149797570850202,0.0165683671066264
"80-84","2","5",0.0809716599190283,0.0129393639241739
"80-84","2","6",0.0910931174089069,0.0129186758851163
"80-84","2","7",0.0445344129554656,0.00903191244034979
"80-84","2","8",0.0566801619433198,0.0108284955592342
"85+","1","0",0.0690909090909091,0.0108591855128466
"85+","1","1",0.152727272727273,0.0152002218110316
"85+","1","2",0.187272727272727,0.0173493990860226
"85+","1","3",0.183636363636364,0.0153719040364844
"85+","1","4",0.161818181818182,0.015796227225139
"85+","1","5",0.109090909090909,0.013628994797957
"85+","1","6",0.04,0.00835710888440626
"85+","1","7",0.04,0.00822937541771235
"85+","1","8",0.0563636363636364,0.0103611758755825
"85+","2","0",0.0723981900452489,0.00870195800765042
"85+","2","1",0.158371040723982,0.0130725574507502
"85+","2","2",0.178733031674208,0.0121929939940306
"85+","2","3",0.191176470588235,0.0131205872396088
"85+","2","4",0.157239819004525,0.0120947252305535
"85+","2","5",0.0995475113122172,0.00970564190054551
"85+","2","6",0.0678733031674208,0.00837644658444747
"85+","2","7",0.0350678733031674,0.00633199640317259
"85+","2","8",0.0395927601809955,0.00702940609833564
