"agegroup","sex","omsysval.usual","Pe"
"10-14","1",107.467130102041,0.0524685042377894
"60-64","1",107.467130102041,0.00595132645561864
"65-69","1",107.467130102041,0.00427202460604876
"80-84","1",107.467130102041,0.0333591849067709
"05-09","2",107.467130102041,0.00804227737720086
"10-14","2",107.467130102041,0.02270426959493
"15-19","2",107.467130102041,0.0142862476621446
"25-29","2",107.467130102041,0.00478160610537284
"30-34","2",107.467130102041,0.0261725927840919
"35-39","2",107.467130102041,0.0135097281267635
"50-54","2",107.467130102041,0.00485437224377334
"05-09","1",107.894548979592,0.0197633350942021
"10-14","1",107.894548979592,0.0327069966394615
"25-29","1",107.894548979592,0.00659208314370678
"30-34","1",107.894548979592,0.00783390488516554
"05-09","2",107.894548979592,0.00875922007139032
"10-14","2",107.894548979592,0.0108178843416886
"15-19","2",107.894548979592,0.00763314981300093
"20-24","2",107.894548979592,0.00749396665903972
"25-29","2",107.894548979592,0.0146751256591836
"30-34","2",107.894548979592,0.010051053823325
"35-39","2",107.894548979592,0.0106126240933367
"40-44","2",107.894548979592,0.00674622987127387
"45-49","2",107.894548979592,0.00333630255197088
"05-09","1",108.321326020408,0.00576364245145922
"10-14","1",108.321326020408,0.0220251736326533
"15-19","1",108.321326020408,0.00675119125163353
"40-44","1",108.321326020408,0.0032548249474448
"85+","1",108.321326020408,0.0260464717725102
"05-09","2",108.321326020408,0.0235157298515256
"10-14","2",108.321326020408,0.0125509165364551
"15-19","2",108.321326020408,0.00627966928135174
"20-24","2",108.321326020408,0.0106322961282378
"25-29","2",108.321326020408,0.00918578062881214
"30-34","2",108.321326020408,0.0154592567252812
"35-39","2",108.321326020408,0.00951588982554851
"40-44","2",108.321326020408,0.00320897510042257
"45-49","2",108.321326020408,0.00958412351218049
"50-54","2",108.321326020408,0.00510308797002138
"55-59","2",108.321326020408,0.0126589087340522
"65-69","2",108.321326020408,0.00389580156223079
"05-09","1",108.74746122449,0.0116461408662297
"10-14","1",108.74746122449,0.0145173671520709
"35-39","1",108.74746122449,0.00297077921340182
"40-44","1",108.74746122449,0.00911675324014749
"60-64","1",108.74746122449,0.0105714402764822
"10-14","2",108.74746122449,0.0174451144144365
"15-19","2",108.74746122449,0.00668182841256885
"30-34","2",108.74746122449,0.00514084055483542
"35-39","2",108.74746122449,0.0104027913614708
"40-44","2",108.74746122449,0.00265145833273727
"45-49","2",108.74746122449,0.00484091481926957
"50-54","2",108.74746122449,0.00306798200960932
"55-59","2",108.74746122449,0.00554860520927425
"05-09","1",109.172954591837,0.0162661029669954
"10-14","1",109.172954591837,0.0154714947438434
"15-19","1",109.172954591837,0.00595959958414102
"80-84","1",109.172954591837,0.0122073008404018
"05-09","2",109.172954591837,0.0249739743176061
"10-14","2",109.172954591837,0.0419857866347997
"15-19","2",109.172954591837,0.0132468049494816
"30-34","2",109.172954591837,0.00243286201911171
"35-39","2",109.172954591837,0.0125949975207643
"40-44","2",109.172954591837,0.00722770111701435
"45-49","2",109.172954591837,0.0100552987762972
"65-69","2",109.172954591837,0.0049176150264593
"70-74","2",109.172954591837,0.00591127970478957
"80-84","2",109.172954591837,0.0129711158501726
"05-09","1",109.597806122449,0.00694058836150146
"10-14","1",109.597806122449,0.00905210799880666
"55-59","1",109.597806122449,0.00500677697708357
"65-69","1",109.597806122449,0.00410207974611366
"05-09","2",109.597806122449,0.0122522468813082
"10-14","2",109.597806122449,0.0156246977639888
"15-19","2",109.597806122449,0.00978103342869388
"20-24","2",109.597806122449,0.0180036922473296
"25-29","2",109.597806122449,0.00762882925958875
"30-34","2",109.597806122449,0.00884560671478703
"35-39","2",109.597806122449,0.0336012202031635
"40-44","2",109.597806122449,0.0204870562758319
"45-49","2",109.597806122449,0.00305482457623502
"50-54","2",109.597806122449,0.00393377233114272
