"agegroup","sex","bmival","Pe","se"
"05-09","1","18.7",0.00228088627037161,0.00227443229709303
"05-09","1","18.8",0.0017856713167733,0.00178532017605438
"05-09","1","18.9",0.00536681877857093,0.0037989750320806
"05-09","1","19",0.00249506686110451,0.00250725876429429
"05-09","1","19.1",0.00906173528606425,0.00553908720664782
"05-09","1","19.2",0.00187552321645254,0.00187098693663637
"05-09","1","19.3",0.00155315352351666,0.00154727894028239
"05-09","1","19.4",0.00681683619217381,0.00395714547990336
"05-09","1","19.5",0.00702203967781219,0.00403779249996034
"05-09","1","19.6",0.00436695235534773,0.00309223641337136
"05-09","1","19.8",0.00157722794846442,0.00157724658987682
"05-09","1","20",0.00450227357734071,0.00319261116595425
"05-09","1","20.3",0.00752902367673676,0.00538189050854257
"05-09","1","20.7",0.00290080981489956,0.0029043580302872
"05-09","1","21.8",0.00226939620047226,0.00226785169326581
"05-09","1","22.1",0.00208576123832597,0.00208092751064789
"05-09","1","22.2",0.00203123653776273,0.00203629740666111
"05-09","1","23.3",0.00405664845745527,0.00407702546124124
"05-09","1","24.1",0.0061124172212381,0.00606212300539957
"05-09","1","25.5",0.00313951224036763,0.00313464075666877
"05-09","1","37.1",0.00272233230585036,0.00271924537679058
"05-09","2","10.2",0.00361592915479755,0.00361012584533889
"05-09","2","11.1",0.00306259700102415,0.00305937863705192
"05-09","2","12.6",0.00170110771282767,0.00170544488214297
"05-09","2","12.8",0.00198607972102377,0.00198613177223597
"05-09","2","12.9",0.00331653616435826,0.00330329214971314
"05-09","2","13.5",0.00578521295482855,0.00409452154809555
"05-09","2","13.6",0.00282952749590448,0.00283386135743572
"05-09","2","13.7",0.00945010037769162,0.00657836254663812
"05-09","2","13.9",0.00261771302844528,0.00261612771963715
"05-09","2","14",0.00339516478919138,0.0034045267309211
"05-09","2","14.1",0.0110892875339403,0.0058535443623199
"05-09","2","14.2",0.0120116043204035,0.00646746898513161
"05-09","2","14.3",0.00412858156042307,0.00297103139127781
"05-09","2","14.4",0.00425145974699437,0.00300961413288861
"05-09","2","14.5",0.00569562209298155,0.00402098580814184
"05-09","2","14.6",0.0103160131872821,0.00517853825494919
"05-09","2","14.7",0.00715426984872452,0.00523523048313243
"05-09","2","14.8",0.00922422682374188,0.00558208686893219
"05-09","2","14.9",0.00775737409524332,0.00449771737707153
"05-09","2","15",0.0194181489078358,0.00814955626143836
"05-09","2","15.1",0.00687644757762248,0.00403743444088258
"05-09","2","15.2",0.00831648500243196,0.00484479033071662
"05-09","2","15.3",0.00916708636380261,0.0045968787018545
"05-09","2","15.4",0.0247393639782971,0.0106354562856846
"05-09","2","15.5",0.0071102924800133,0.00417241682161251
"05-09","2","15.6",0.0122694892581003,0.00643291552755534
"05-09","2","15.7",0.00917556302292409,0.00467257618222704
"05-09","2","15.8",0.0189579043836919,0.00727279735257462
"05-09","2","15.9",0.0211312473111475,0.00756826101384142
"05-09","2","16",0.0149260571943507,0.00613239711363242
"05-09","2","16.1",0.021217401092752,0.00791390069889472
"05-09","2","16.2",0.0200079310020571,0.00783282882896648
